emoji,pos_count,neg_count,neutral_count,pos_norm,neg_norm,neutral_norm,distance
🖥,12,9,9,0.4,0.3,0.3,0.13300000000000006
🙈,3,3,2,0.375,0.375,0.25,0.16699999999999998
🤯,12,9,15,0.3333333333333333,0.25,0.4166666666666667,0.16699999999999998
🤳,2,3,2,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.19014285714285717
😮,2,3,2,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.19014285714285717
🥺,35,25,47,0.32710280373831774,0.2336448598130841,0.4392523364485981,0.2115046728971963
🤫,3,2,4,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.2225555555555555
�,3,2,4,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.2225555555555555
🤣,84,61,117,0.32061068702290074,0.23282442748091603,0.44656488549618323,0.22612977099236647
🏽,13,9,7,0.4482758620689655,0.3103448275862069,0.2413793103448276,0.22955172413793104
😅,24,15,30,0.34782608695652173,0.21739130434782608,0.43478260869565216,0.2322173913043478
🤪,9,6,5,0.45,0.3,0.25,0.23300000000000004
😳,3,3,5,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.24209090909090913
🤭,5,3,3,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.24209090909090913
🧐,7,6,11,0.2916666666666667,0.25,0.4583333333333333,0.24966666666666665
🥹,6,4,3,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.2560769230769231
🤓,13,6,9,0.4642857142857143,0.21428571428571427,0.32142857142857145,0.26157142857142857
😂,77,45,102,0.34375,0.20089285714285715,0.45535714285714285,0.2652142857142857
😜,8,4,8,0.4,0.2,0.4,0.267
😛,2,1,2,0.4,0.2,0.4,0.267
⚔,2,1,2,0.4,0.2,0.4,0.267
😲,2,2,1,0.4,0.4,0.2,0.267
😏,6,6,11,0.2608695652173913,0.2608695652173913,0.4782608695652174,0.28952173913043483
🧵,5,8,12,0.2,0.32,0.48,0.293
💰,4,2,5,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.30336363636363634
🇦,9,4,9,0.4090909090909091,0.18181818181818182,0.4090909090909091,0.3033636363636364
🧢,1,2,1,0.25,0.5,0.25,0.333
🤞,12,6,6,0.5,0.25,0.25,0.333
📲,2,1,1,0.5,0.25,0.25,0.333
🤐,2,1,3,0.3333333333333333,0.16666666666666666,0.5,0.33366666666666667
️,258,102,133,0.5233265720081136,0.20689655172413793,0.2697768762677485,0.37965314401622724
▶,3,1,3,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.38128571428571423
❌,1,3,3,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.38128571428571423
🥴,5,14,16,0.14285714285714285,0.4,0.45714285714285713,0.3812857142857143
🤷,13,44,41,0.1326530612244898,0.4489795918367347,0.41836734693877553,0.40169387755102043
🚨,7,2,7,0.4375,0.125,0.4375,0.417
😇,6,2,3,0.5454545454545454,0.18181818181818182,0.2727272727272727,0.4239090909090909
🇺,17,6,27,0.34,0.12,0.54,0.42700000000000005
🤝,18,4,12,0.5294117647058824,0.11764705882352941,0.35294117647058826,0.43170588235294116
🙃,4,10,4,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.4441111111111112
🏾,20,6,10,0.5555555555555556,0.16666666666666666,0.2777777777777778,0.4441111111111112
🤠,9,2,7,0.5,0.1111111111111111,0.3888888888888889,0.44477777777777777
🏻,40,22,9,0.5633802816901409,0.30985915492957744,0.1267605633802817,0.45976056338028176
🎧,4,1,5,0.4,0.1,0.5,0.467
🤙,5,1,4,0.5,0.1,0.4,0.467
😭,9,37,48,0.09574468085106383,0.39361702127659576,0.5106382978723404,0.47551063829787227
🥵,8,2,4,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.47585714285714287
💻,75,13,50,0.5434782608695652,0.09420289855072464,0.36231884057971014,0.4785942028985507
🤟,7,3,2,0.5833333333333334,0.25,0.16666666666666666,0.4996666666666667
♂,8,38,19,0.12307692307692308,0.5846153846153846,0.2923076923076923,0.5022307692307693
🦾,8,1,5,0.5714285714285714,0.07142857142857142,0.35714285714285715,0.524142857142857
🍻,3,1,1,0.6,0.2,0.2,0.5329999999999999
🔵,3,1,1,0.6,0.2,0.2,0.5329999999999999
🏼,33,5,17,0.6,0.09090909090909091,0.3090909090909091,0.5329999999999999
🥰,41,4,25,0.5857142857142857,0.05714285714285714,0.35714285714285715,0.5527142857142857
🤗,10,1,7,0.5555555555555556,0.05555555555555555,0.3888888888888889,0.5558888888888889
