emoji,pos_count,neg_count,neutral_count,pos_norm,neg_norm,neutral_norm,distance
💰,4,4,5,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.10223076923076924
🖥,14,13,10,0.3783783783783784,0.35135135135135137,0.2702702702702703,0.12645945945945947
😏,7,9,11,0.25925925925925924,0.3333333333333333,0.4074074074074074,0.14848148148148144
🙈,3,3,2,0.375,0.375,0.25,0.16699999999999998
🤳,2,3,2,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.19014285714285717
🤯,13,9,16,0.34210526315789475,0.23684210526315788,0.42105263157894735,0.1933157894736842
🤪,11,6,9,0.4230769230769231,0.23076923076923078,0.34615384615384615,0.20546153846153842
🥺,38,48,67,0.24836601307189543,0.3137254901960784,0.43790849673202614,0.2088169934640523
🏽,15,10,9,0.4411764705882353,0.29411764705882354,0.2647058823529412,0.21535294117647058
�,3,2,4,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.2225555555555555
😳,3,6,5,0.21428571428571427,0.42857142857142855,0.35714285714285715,0.2384285714285714
🧐,7,6,11,0.2916666666666667,0.25,0.4583333333333333,0.24966666666666665
🥹,6,4,3,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.2560769230769231
🤞,12,8,6,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.2560769230769231
🤓,13,6,9,0.4642857142857143,0.21428571428571427,0.32142857142857145,0.26157142857142857
😅,27,15,32,0.36486486486486486,0.20270270270270271,0.43243243243243246,0.26159459459459455
⚔,2,1,2,0.4,0.2,0.4,0.267
️,315,149,203,0.47226386806596704,0.22338830584707647,0.30434782608695654,0.27752773613193404
😜,9,4,8,0.42857142857142855,0.19047619047619047,0.38095238095238093,0.286047619047619
🧵,5,8,12,0.2,0.32,0.48,0.293
😂,105,67,159,0.31722054380664655,0.20241691842900303,0.48036253776435045,0.29372507552870086
🎧,4,2,5,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.30336363636363634
🤣,141,88,228,0.3085339168490153,0.1925601750547046,0.4989059080962801,0.33081181619256017
📲,2,1,1,0.5,0.25,0.25,0.333
🤫,3,3,6,0.25,0.25,0.5,0.333
🤐,2,1,3,0.3333333333333333,0.16666666666666666,0.5,0.33366666666666667
😛,3,1,2,0.5,0.16666666666666666,0.3333333333333333,0.33366666666666667
😲,3,2,1,0.5,0.3333333333333333,0.16666666666666666,0.33366666666666667
🥴,7,22,17,0.15217391304347827,0.4782608695652174,0.3695652173913043,0.36265217391304344
▶,3,1,3,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.38128571428571423
👇,57,17,33,0.5327102803738317,0.1588785046728972,0.308411214953271,0.3984205607476635
🤭,7,3,3,0.5384615384615384,0.23076923076923078,0.23076923076923078,0.4099230769230769
😇,6,2,3,0.5454545454545454,0.18181818181818182,0.2727272727272727,0.4239090909090909
💛,6,2,3,0.5454545454545454,0.18181818181818182,0.2727272727272727,0.4239090909090909
