text_embedder,emoji_embedder,accuracy_difference
TF-IDF,TF-IDF,0.0017905102954342
TF-IDF,Word2Vec,0.0071620411817368
TF-IDF,FastText,0.0035810205908684
TF-IDF,BERT,-0.0026857654431512445
TF-IDF,Doc2Vec,-0.0008952551477170445
Word2Vec,TF-IDF,0.0008952551477170445
Word2Vec,Word2Vec,0.0644583706356312
Word2Vec,FastText,0.0250671441360788
Word2Vec,BERT,-0.006266786034019645
Word2Vec,Doc2Vec,0.035810205908684
FastText,TF-IDF,0.0
FastText,Word2Vec,0.02148612354521029
FastText,FastText,0.015219337511190645
FastText,BERT,0.008057296329453845
FastText,Doc2Vec,0.0214861235452104
BERT,TF-IDF,-0.0026857654431513556
BERT,Word2Vec,0.004476275738585445
BERT,FastText,0.004476275738585445
BERT,BERT,0.004476275738585445
BERT,Doc2Vec,0.0008952551477170445
Doc2Vec,TF-IDF,-0.0008952551477171555
Doc2Vec,Word2Vec,0.0232766338406446
Doc2Vec,FastText,0.0
Doc2Vec,BERT,-0.0017905102954342
Doc2Vec,Doc2Vec,0.0143240823634736
