emoji,pos_count,neg_count,neutral_count
🇲,0,0,2
🇾,0,0,2
😧,2,143,4
😔,10,18,3
😊,1,118,12
😆,1,12,3
😅,6,5,8
🖥,4,1,7
🙌,0,2,13
😁,3,3,5
💻,4,9,12
💕,1,0,1
🤷,10,3,6
🏻,2,5,16
💰,3,0,1
🇨,0,3,0
🇳,1,3,0
🇺,3,15,9
🇸,1,6,1
🇦,2,7,8
🤗,0,4,1
🤸,0,1,1
👋,0,0,6
🤝,3,2,5
🍎,0,4,1
🥇,0,1,1
🥈,0,1,1
🥉,0,1,1
👉,0,2,15
✅,0,4,8
😮,1,0,5
💌,0,1,0
🍀,0,1,2
👍,1,2,15
🤟,1,0,2
🤳,1,0,0
𝗶,0,0,4
𝟳,0,0,1
𝟭,0,0,3
𝟮,0,0,2
𝘁,0,0,2
𝗵,0,0,4
𝗚,0,0,3
𝗲,0,0,2
𝗻,0,0,3
𝟱,0,0,1
𝘀,0,0,4
𝗼,0,0,3
𝘄,0,0,1
𝗳,0,0,2
𝘇,0,0,1
𝗥,0,0,1
𝗕,0,0,1
𝗰,0,0,1
𝗮,0,0,1
𝗹,0,0,1
𝗴,0,0,2
🤭,1,0,1
🤦,12,11,17
🚶,0,0,1
🥊,0,1,0
😂,18,30,21
✨,0,0,9
🌸,0,0,1
😓,2,0,0
🙂,5,1,8
⬇,1,0,1
️,47,20,61
🥺,7,11,8
👇,6,3,10
😄,0,19,4
🇪,0,2,1
😡,24,1,3
☹,1,0,0
🌐,0,1,3
☝,0,0,1
🤔,8,11,6
🫡,0,0,2
😍,0,10,7
👩,0,0,2
👨,0,0,3
🏼,5,6,13
🧑,0,0,2
🏽,0,0,6
🎓,0,0,1
🔥,15,2,13
🤑,0,2,1
💪,0,4,4
🤠,0,1,2
🤣,14,41,22
🙉,1,0,0
😏,2,1,1
📣,0,0,7
🤛,0,0,1
👏,5,2,21
🙃,3,0,5
📸,0,0,1
🦋,0,1,0
💀,2,3,3
🥴,12,6,1
😌,0,0,2
❤,16,3,13
🤩,0,5,9
🤨,1,4,0
😩,5,1,0
♂,3,4,2
📢,0,0,2
🎤,0,1,0
🌟,0,1,4
💯,0,3,5
🤲,0,1,0
🙏,3,3,12
😭,29,19,2
👀,6,2,7
🖱,1,1,1
😎,0,6,8
🏾,3,0,6
🎉,0,0,7
👽,0,1,4
😉,1,3,7
⭐,10,0,0
🙄,8,4,2
🤪,0,3,3
🥰,0,3,9
🍻,0,1,1
🛐,0,0,1
🦁,0,0,3
🤬,18,19,0
🤯,2,3,1
🦾,0,2,2
😇,1,0,2
💙,0,3,9
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,0,3,1
🚀,0,1,18
🙈,0,1,0
📈,0,2,1
🥲,3,0,2
🥵,2,1,0
😈,0,0,1
🔷,0,0,1
💡,0,0,3
😜,0,2,4
🥳,0,3,9
🦊,0,2,0
🖤,0,1,1
💅,0,0,3
😠,3,0,0
🧀,0,0,1
🐝,0,0,1
💎,0,0,1
🥹,1,1,0
➡,0,2,11
🎙,0,0,1
♀,3,2,2
