emoji,pos_count,neg_count,neutral_count
🇲,0,0,2
🇾,0,0,2
😧,0,149,0
😔,7,24,0
😊,1,125,5
😆,0,15,1
😅,1,10,8
🖥,2,3,7
🙌,1,4,10
😁,2,4,5
💻,0,14,11
💕,0,1,1
🤷,5,9,5
🏻,4,13,6
💰,0,3,1
🇨,0,1,2
🇳,1,1,2
🇺,0,13,14
🇸,0,3,5
🇦,0,11,6
🤗,1,4,0
🤸,0,2,0
👋,0,2,4
🤝,0,7,3
🍎,1,0,4
🥇,0,0,2
🥈,0,0,2
🥉,0,0,2
👉,1,4,12
✅,0,3,9
😮,1,0,5
💌,0,1,0
🍀,0,0,3
👍,1,6,11
🤟,0,3,0
🤳,0,1,0
𝗶,4,0,0
𝟳,1,0,0
𝟭,3,0,0
𝟮,2,0,0
𝘁,2,0,0
𝗵,4,0,0
𝗚,3,0,0
𝗲,2,0,0
𝗻,3,0,0
𝟱,1,0,0
𝘀,4,0,0
𝗼,3,0,0
𝘄,1,0,0
𝗳,2,0,0
𝘇,1,0,0
𝗥,1,0,0
𝗕,1,0,0
𝗰,1,0,0
𝗮,1,0,0
𝗹,1,0,0
𝗴,2,0,0
🤭,0,0,2
🤦,4,34,2
🚶,0,1,0
🥊,0,1,0
😂,7,42,20
✨,0,2,7
🌸,0,1,0
😓,2,0,0
🙂,3,3,8
⬇,0,1,1
️,27,43,58
🥺,2,22,2
👇,0,8,11
😄,2,21,0
🇪,0,0,3
😡,15,7,6
☹,1,0,0
🌐,0,2,2
☝,0,1,0
🤔,3,17,5
🫡,0,0,2
😍,1,12,4
👩,0,1,1
👨,0,2,1
🏼,0,12,12
🧑,0,0,2
🏽,2,0,4
🎓,0,0,1
🔥,3,15,12
🤑,0,3,0
💪,1,3,4
🤠,0,1,2
🤣,9,62,6
🙉,1,0,0
😏,2,1,1
📣,0,0,7
🤛,0,1,0
👏,0,14,14
🙃,4,2,2
📸,0,1,0
🦋,0,1,0
💀,3,3,2
🥴,0,18,1
😌,0,0,2
❤,2,16,14
🤩,0,7,7
🤨,1,4,0
😩,1,4,1
♂,3,4,2
📢,0,0,2
🎤,0,0,1
🌟,0,3,2
💯,0,2,6
🤲,0,1,0
🙏,3,9,6
😭,26,24,0
👀,1,4,10
🖱,0,2,1
😎,0,5,9
🏾,2,3,4
🎉,0,4,3
👽,0,1,4
😉,1,6,4
⭐,10,0,0
🙄,7,5,2
🤪,1,5,0
🥰,2,9,1
🍻,0,1,1
🛐,0,1,0
🦁,0,3,0
🤬,12,24,1
🤯,2,4,0
🦾,0,3,1
😇,1,1,1
💙,0,6,6
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,0,4,0
🚀,0,7,12
🙈,0,1,0
📈,0,0,3
🥲,2,1,2
🥵,0,3,0
😈,0,0,1
🔷,0,0,1
💡,0,0,3
😜,1,2,3
🥳,0,5,7
🦊,0,2,0
🖤,0,1,1
💅,0,1,2
😠,2,1,0
🧀,0,1,0
🐝,0,1,0
💎,0,1,0
🥹,0,2,0
➡,0,0,13
🎙,0,0,1
♀,4,2,1
