emoji,pos_count,neg_count,neutral_count
🇲,0,0,2
🇾,0,0,2
😧,0,149,0
😔,8,23,0
😊,0,128,3
😆,1,15,0
😅,0,7,12
🖥,0,6,6
🙌,1,3,11
😁,2,2,7
💻,0,10,15
💕,0,0,2
🤷,6,9,4
🏻,3,14,6
💰,0,0,4
🇨,0,1,2
🇳,1,1,2
🇺,0,14,13
🇸,0,2,6
🇦,0,13,4
🤗,0,5,0
🤸,0,2,0
👋,0,2,4
🤝,0,6,4
🍎,1,2,2
🥇,0,1,1
🥈,0,1,1
🥉,0,1,1
👉,0,4,13
✅,0,6,6
😮,1,0,5
💌,0,1,0
🍀,0,1,2
👍,1,5,12
🤟,0,3,0
🤳,0,1,0
𝗶,4,0,0
𝟳,1,0,0
𝟭,3,0,0
𝟮,2,0,0
𝘁,2,0,0
𝗵,4,0,0
𝗚,3,0,0
𝗲,2,0,0
𝗻,3,0,0
𝟱,1,0,0
𝘀,4,0,0
𝗼,3,0,0
𝘄,1,0,0
𝗳,2,0,0
𝘇,1,0,0
𝗥,1,0,0
𝗕,1,0,0
𝗰,1,0,0
𝗮,1,0,0
𝗹,1,0,0
𝗴,2,0,0
🤭,0,0,2
🤦,3,33,4
🚶,0,0,1
🥊,0,1,0
😂,7,44,18
✨,0,4,5
🌸,0,0,1
😓,2,0,0
🙂,2,5,7
⬇,0,1,1
️,15,58,55
🥺,1,20,5
👇,0,2,17
😄,2,21,0
🇪,0,0,3
😡,15,8,5
☹,1,0,0
🌐,0,1,3
☝,0,1,0
🤔,4,12,9
🫡,0,1,1
😍,1,10,6
👩,0,2,0
👨,0,3,0
🏼,0,9,15
🧑,0,2,0
🏽,2,1,3
🎓,0,1,0
🔥,1,15,14
🤑,0,3,0
💪,1,0,7
🤠,0,1,2
🤣,9,55,13
🙉,1,0,0
😏,2,1,1
📣,0,2,5
🤛,0,1,0
👏,0,11,17
🙃,5,2,1
📸,0,1,0
🦋,0,1,0
💀,2,6,0
🥴,0,18,1
😌,0,0,2
❤,2,15,15
🤩,0,7,7
🤨,1,4,0
😩,1,1,4
♂,3,4,2
📢,0,0,2
🎤,0,1,0
🌟,0,2,3
💯,0,1,7
🤲,0,0,1
🙏,4,5,9
😭,26,20,4
👀,1,5,9
🖱,0,3,0
😎,0,6,8
🏾,2,4,3
🎉,0,1,6
👽,0,1,4
😉,1,6,4
⭐,0,10,0
🙄,7,3,4
🤪,1,5,0
🥰,1,10,1
🍻,0,2,0
🛐,0,1,0
🦁,0,3,0
🤬,13,22,2
🤯,3,3,0
🦾,0,3,1
😇,1,2,0
💙,0,4,8
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,0,4,0
🚀,0,5,14
🙈,0,1,0
📈,0,0,3
🥲,2,1,2
🥵,0,3,0
😈,0,1,0
🔷,0,0,1
💡,0,1,2
😜,1,3,2
🥳,0,5,7
🦊,0,2,0
🖤,0,1,1
💅,1,0,2
😠,1,2,0
🧀,0,1,0
🐝,0,1,0
💎,0,0,1
🥹,0,2,0
➡,0,3,10
🎙,0,0,1
♀,3,2,2
