emoji,pos_count,neg_count,neutral_count
🇲,0,2,0
🇾,0,2,0
😧,0,146,3
😔,0,29,2
😊,0,127,4
😆,0,13,3
😅,0,11,8
🖥,0,2,10
🙌,0,6,9
😁,0,4,7
💻,0,16,9
💕,0,1,1
🤷,0,10,9
🏻,0,6,17
💰,0,4,0
🇨,0,1,2
🇳,0,1,3
🇺,0,14,13
🇸,0,5,3
🇦,0,7,10
🤗,0,3,2
🤸,0,2,0
👋,0,2,4
🤝,0,5,5
🍎,0,1,4
🥇,0,1,1
🥈,0,1,1
🥉,0,1,1
👉,0,8,9
✅,0,3,9
😮,0,1,5
💌,0,1,0
🍀,0,1,2
👍,0,6,12
🤟,0,2,1
🤳,0,1,0
𝗶,0,0,4
𝟳,0,0,1
𝟭,0,0,3
𝟮,0,0,2
𝘁,0,0,2
𝗵,0,0,4
𝗚,0,0,3
𝗲,0,0,2
𝗻,0,0,3
𝟱,0,0,1
𝘀,0,0,4
𝗼,0,0,3
𝘄,0,0,1
𝗳,0,0,2
𝘇,0,0,1
𝗥,0,0,1
𝗕,0,0,1
𝗰,0,0,1
𝗮,0,0,1
𝗹,0,0,1
𝗴,0,0,2
🤭,0,0,2
🤦,0,31,9
🚶,0,0,1
🥊,0,1,0
😂,0,20,49
✨,0,2,7
🌸,0,1,0
😓,0,2,0
🙂,0,6,8
⬇,0,1,1
️,0,36,92
🥺,0,22,4
👇,0,14,5
😄,0,21,2
🇪,0,3,0
😡,0,19,9
☹,0,0,1
🌐,0,2,2
☝,0,1,0
🤔,0,16,9
🫡,0,0,2
😍,0,11,6
👩,0,0,2
👨,0,1,2
🏼,0,5,19
🧑,0,0,2
🏽,0,4,2
🎓,0,0,1
🔥,0,5,25
🤑,0,3,0
💪,0,4,4
🤠,0,2,1
🤣,0,58,19
🙉,0,1,0
😏,0,1,3
📣,0,0,7
🤛,0,1,0
👏,0,8,20
🙃,0,7,1
📸,0,0,1
🦋,0,1,0
💀,0,4,4
🥴,0,18,1
😌,0,0,2
❤,0,7,25
🤩,0,8,6
🤨,0,5,0
😩,0,6,0
♂,0,3,6
📢,0,2,0
🎤,0,0,1
🌟,0,3,2
💯,0,3,5
🤲,0,0,1
🙏,0,10,8
😭,0,40,10
👀,0,3,12
🖱,0,0,3
😎,0,7,7
🏾,0,3,6
🎉,0,2,5
👽,0,3,2
😉,0,3,8
⭐,0,0,10
🙄,0,9,5
🤪,0,5,1
🥰,0,12,0
🍻,0,1,1
🛐,0,0,1
🦁,0,3,0
🤬,0,32,5
🤯,0,6,0
🦾,0,3,1
😇,0,2,1
💙,0,6,6
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,0,1,3
🚀,0,4,15
🙈,0,0,1
📈,0,3,0
🥲,0,2,3
🥵,0,3,0
😈,0,1,0
🔷,0,0,1
💡,0,1,2
😜,0,5,1
🥳,0,11,1
🦊,0,2,0
🖤,0,2,0
💅,0,1,2
😠,0,2,1
🧀,0,1,0
🐝,0,0,1
💎,0,1,0
🥹,0,0,2
➡,0,3,10
🎙,0,1,0
♀,0,0,7
🚨,0,4,8
☠,0,3,0
☕,0,0,2
💜,0,3,2
𝐃,0,0,1
𝐞,0,1,8
𝐥,0,2,5
𝐓,0,0,2
𝐡,0,0,1
𝐁,0,0,1
𝐬,0,1,3
𝐭,0,1,4
𝐏,0,0,1
𝐫,0,1,3
𝐟,0,0,2
𝐨,0,1,9
𝐦,0,0,1
𝐢,0,0,3
𝐧,0,0,4
𝐠,0,0,1
𝐍,0,0,1
𝐛,0,0,2
𝐤,0,0,1
𝟐,0,0,2
𝟎,0,0,1
𝟏,0,0,1
🦉,0,1,0
🤓,0,4,1
🔗,0,3,2
⚠,0,2,0
😬,0,2,1
😫,0,1,0
📩,0,1,1
🔬,0,0,1
💚,0,0,2
🧡,0,1,1
💛,0,0,3
⛈,0,1,0
⚔,0,1,0
😘,0,2,1
🤤,0,4,0
🎧,0,1,0
🚗,0,1,0
🤌,0,1,1
🤮,0,6,0
👬,0,0,1
🎮,0,0,1
😲,0,1,0
♥,0,0,4
💔,0,0,1
😛,0,0,3
😑,0,1,2
🧠,0,2,0
📴,0,0,1
🏆,0,1,7
🐠,0,0,1
🌍,0,1,1
❌,0,1,0
😢,0,2,0
😱,0,0,1
💃,0,1,0
🎊,0,0,2
⤵,0,2,0
💸,0,4,0
🤙,0,3,0
🪶,0,0,1
👑,0,1,2
🇮,0,2,1
🤢,0,5,0
🤞,0,2,3
👻,0,1,2
😶,0,0,1
👁,0,0,2
👄,0,0,1
📌,0,1,0
🌖,0,0,1
🧵,0,2,2
🔌,0,1,1
😒,0,3,5
💭,0,0,1
▫,0,0,6
🪑,0,0,1
😻,0,0,1
📷,0,0,1
🌳,0,0,1
😐,0,2,0
👈,0,0,1
🤘,0,1,0
🐧,0,1,0
💖,0,1,0
💾,0,0,1
🌉,0,1,0
🇰,0,2,0
🇷,0,2,0
🗨,0,0,2
💬,0,0,2
♻,0,0,1
🧙,0,2,0
🤧,0,1,0
🙋,0,0,1
🧢,0,0,1
🔹,0,0,3
🤐,0,2,0
🪬,0,1,0
🌀,0,1,0
📺,0,1,0
😳,0,0,2
😦,0,1,0
🍖,0,0,1
🐶,0,0,1
👎,0,0,1
🥁,0,1,0
😟,0,0,1
😕,0,0,1
🫤,0,0,1
✌,0,1,1
🤡,0,4,3
💤,0,1,0
👧,0,4,0
✋,0,1,0
💫,0,2,0
☀,0,5,1
🦅,0,1,0
😰,0,0,1
😖,0,1,0
▶,0,1,1
🚫,0,1,0
𝐀,0,0,1
𝐯,0,0,1
𝐚,0,0,4
