emoji,pos_count,neg_count,neutral_count
🇲,0,0,2
🇾,0,0,2
😧,1,135,13
😔,0,26,5
😊,3,112,16
😆,0,11,5
😅,0,13,6
🖥,0,2,10
🙌,0,4,11
😁,0,6,5
💻,0,10,15
💕,0,1,1
🤷,0,9,10
🏻,0,6,17
💰,0,3,1
🇨,0,0,3
🇳,0,0,4
🇺,0,5,22
🇸,0,2,6
🇦,0,1,16
🤗,0,4,1
🤸,0,2,0
👋,0,2,4
🤝,0,3,7
🍎,0,0,5
🥇,0,0,2
🥈,0,0,2
🥉,0,0,2
👉,0,8,9
✅,0,2,10
😮,0,0,6
💌,0,0,1
🍀,0,1,2
👍,0,5,13
🤟,0,3,0
🤳,0,1,0
𝗶,0,0,4
𝟳,0,0,1
𝟭,0,0,3
𝟮,0,0,2
𝘁,0,0,2
𝗵,0,0,4
𝗚,0,0,3
𝗲,0,0,2
𝗻,0,0,3
𝟱,0,0,1
𝘀,0,0,4
𝗼,0,0,3
𝘄,0,0,1
𝗳,0,0,2
𝘇,0,0,1
𝗥,0,0,1
𝗕,0,0,1
𝗰,0,0,1
𝗮,0,0,1
𝗹,0,0,1
𝗴,0,0,2
🤭,0,1,1
🤦,0,30,10
🚶,0,0,1
🥊,0,1,0
😂,0,18,51
✨,0,3,6
🌸,0,1,0
😓,0,2,0
🙂,0,6,8
⬇,0,1,1
️,2,26,100
🥺,0,23,3
👇,0,12,7
😄,0,20,3
🇪,0,1,2
😡,0,25,3
☹,0,0,1
🌐,0,1,3
☝,0,0,1
🤔,0,14,11
🫡,0,1,1
😍,0,4,13
👩,0,0,2
👨,0,0,3
🏼,0,12,12
🧑,0,0,2
🏽,0,1,5
🎓,0,0,1
🔥,0,4,26
🤑,0,3,0
💪,0,6,2
🤠,0,2,1
🤣,0,61,16
🙉,0,0,1
😏,0,0,4
📣,0,3,4
🤛,0,1,0
👏,0,11,17
🙃,0,6,2
📸,0,0,1
🦋,0,1,0
💀,0,3,5
🥴,0,18,1
😌,0,0,2
❤,0,7,25
🤩,0,7,7
🤨,0,5,0
😩,0,6,0
♂,0,1,8
📢,0,1,1
🎤,0,0,1
🌟,0,3,2
💯,0,2,6
🤲,0,0,1
🙏,0,10,8
😭,0,39,11
👀,0,4,11
🖱,0,0,3
😎,0,6,8
🏾,0,4,5
🎉,0,3,4
👽,0,3,2
😉,0,4,7
⭐,0,0,10
🙄,0,8,6
🤪,0,5,1
🥰,0,11,1
🍻,0,1,1
🛐,0,0,1
🦁,0,3,0
🤬,0,36,1
🤯,0,5,1
🦾,0,3,1
😇,0,2,1
💙,0,4,8
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,0,0,4
🚀,0,5,14
🙈,0,0,1
📈,0,2,1
🥲,0,2,3
🥵,0,3,0
😈,0,1,0
🔷,0,0,1
💡,0,1,2
😜,0,2,4
🥳,0,8,4
🦊,0,2,0
🖤,0,2,0
💅,0,0,3
😠,0,3,0
🧀,0,1,0
🐝,0,0,1
💎,0,1,0
🥹,0,0,2
➡,0,3,10
🎙,0,1,0
♀,0,0,7
