emoji,pos_count,neg_count,neutral_count
🇲,0,0,2
🇾,0,0,2
😧,1,148,0
😔,0,30,1
😊,3,126,2
😆,0,12,4
😅,0,7,12
🖥,0,8,4
🙌,0,4,11
😁,0,3,8
💻,0,14,11
💕,0,1,1
🤷,0,9,10
🏻,0,8,15
💰,0,4,0
🇨,0,0,3
🇳,0,0,4
🇺,0,9,18
🇸,0,3,5
🇦,0,5,12
🤗,0,5,0
🤸,0,2,0
👋,0,3,3
🤝,0,7,3
🍎,0,5,0
🥇,0,2,0
🥈,0,2,0
🥉,0,2,0
👉,0,11,6
✅,0,6,6
😮,0,5,1
💌,0,1,0
🍀,0,1,2
👍,0,6,12
🤟,0,2,1
🤳,0,1,0
𝗶,0,0,4
𝟳,0,0,1
𝟭,0,0,3
𝟮,0,0,2
𝘁,0,0,2
𝗵,0,0,4
𝗚,0,0,3
𝗲,0,0,2
𝗻,0,0,3
𝟱,0,0,1
𝘀,0,0,4
𝗼,0,0,3
𝘄,0,0,1
𝗳,0,0,2
𝘇,0,0,1
𝗥,0,0,1
𝗕,0,0,1
𝗰,0,0,1
𝗮,0,0,1
𝗹,0,0,1
𝗴,0,0,2
🤭,0,0,2
🤦,0,33,7
🚶,0,0,1
🥊,0,1,0
😂,0,15,54
✨,0,3,6
🌸,0,1,0
😓,0,2,0
🙂,0,3,11
⬇,0,1,1
️,0,79,49
🥺,0,21,5
👇,0,13,6
😄,0,22,1
🇪,0,1,2
😡,0,20,8
☹,0,1,0
🌐,0,2,2
☝,0,1,0
🤔,0,20,5
🫡,0,1,1
😍,0,11,6
👩,0,2,0
👨,0,3,0
🏼,0,11,13
🧑,0,1,1
🏽,0,4,2
🎓,0,1,0
🔥,0,20,10
🤑,0,3,0
💪,0,2,6
🤠,0,2,1
🤣,0,57,20
🙉,0,1,0
😏,0,2,2
📣,0,7,0
🤛,0,1,0
👏,0,8,20
🙃,0,7,1
📸,0,0,1
🦋,0,1,0
💀,0,3,5
🥴,0,18,1
😌,0,0,2
❤,0,20,12
🤩,0,8,6
🤨,0,4,1
😩,0,2,4
♂,0,6,3
📢,0,2,0
🎤,0,0,1
🌟,0,3,2
💯,0,3,5
🤲,0,0,1
🙏,0,7,11
😭,0,37,13
👀,0,5,10
🖱,0,2,1
😎,0,5,9
🏾,0,2,7
🎉,0,0,7
👽,0,3,2
😉,0,3,8
⭐,0,10,0
🙄,0,9,5
🤪,0,5,1
🥰,0,12,0
🍻,0,2,0
🛐,0,0,1
🦁,0,3,0
🤬,0,33,4
🤯,0,5,1
🦾,0,3,1
😇,0,1,2
💙,0,2,10
🥑,0,0,1
👊,0,0,1
☁,0,5,0
🔐,0,5,1
☺,0,1,3
🚀,0,14,5
🙈,0,0,1
📈,0,0,3
🥲,0,1,4
🥵,0,3,0
😈,0,0,1
🔷,0,0,1
💡,0,2,1
😜,0,4,2
🥳,0,10,2
🦊,0,2,0
🖤,0,1,1
💅,0,2,1
😠,0,2,1
🧀,0,1,0
🐝,0,0,1
💎,0,0,1
🥹,0,0,2
➡,0,6,7
🎙,0,0,1
♀,0,0,7
