emoji,pos_count,neg_count,neutral_count
🇲,0,0,2
🇾,0,0,2
😧,1,147,1
😔,0,30,1
😊,3,124,4
😆,0,12,4
😅,0,12,7
🖥,0,8,4
🙌,0,4,11
😁,0,7,4
💻,0,18,7
💕,0,1,1
🤷,0,11,8
🏻,0,10,13
💰,0,4,0
🇨,0,2,1
🇳,0,2,2
🇺,0,11,16
🇸,0,4,4
🇦,0,6,11
🤗,0,4,1
🤸,0,2,0
👋,0,4,2
🤝,0,8,2
🍎,0,5,0
🥇,0,2,0
🥈,0,2,0
🥉,0,2,0
👉,0,15,2
✅,0,7,5
😮,0,5,1
💌,0,1,0
🍀,0,2,1
👍,0,6,12
🤟,0,2,1
🤳,0,1,0
𝗶,0,4,0
𝟳,0,1,0
𝟭,0,3,0
𝟮,0,2,0
𝘁,0,2,0
𝗵,0,4,0
𝗚,0,3,0
𝗲,0,2,0
𝗻,0,3,0
𝟱,0,1,0
𝘀,0,4,0
𝗼,0,3,0
𝘄,0,1,0
𝗳,0,2,0
𝘇,0,1,0
𝗥,0,1,0
𝗕,0,1,0
𝗰,0,1,0
𝗮,0,1,0
𝗹,0,1,0
𝗴,0,2,0
🤭,0,1,1
🤦,0,36,4
🚶,0,0,1
🥊,0,1,0
😂,0,20,49
✨,0,7,2
🌸,0,1,0
😓,0,2,0
🙂,0,7,7
⬇,0,2,0
️,0,102,26
🥺,0,23,3
👇,0,16,3
😄,0,22,1
🇪,0,1,2
😡,0,26,2
☹,0,1,0
🌐,0,4,0
☝,0,1,0
🤔,0,20,5
🫡,0,1,1
😍,0,11,6
👩,0,2,0
👨,0,3,0
🏼,0,15,9
🧑,0,1,1
🏽,0,5,1
🎓,0,1,0
🔥,0,24,6
🤑,0,3,0
💪,0,7,1
🤠,0,2,1
🤣,0,58,19
🙉,0,1,0
😏,0,3,1
📣,0,7,0
🤛,0,1,0
👏,0,13,15
🙃,0,7,1
📸,0,0,1
🦋,0,1,0
💀,0,4,4
🥴,0,18,1
😌,0,0,2
❤,0,23,9
🤩,0,12,2
🤨,0,5,0
😩,0,3,3
♂,0,7,2
📢,0,2,0
🎤,0,0,1
🌟,0,4,1
💯,0,3,5
🤲,0,0,1
🙏,0,12,6
😭,0,40,10
👀,0,5,10
🖱,0,2,1
😎,0,7,7
🏾,0,5,4
🎉,0,2,5
👽,0,3,2
😉,0,6,5
⭐,0,10,0
🙄,0,10,4
🤪,0,5,1
🥰,0,12,0
🍻,0,2,0
🛐,0,0,1
🦁,0,3,0
🤬,0,35,2
🤯,0,5,1
🦾,0,3,1
😇,0,2,1
💙,0,4,8
🥑,0,0,1
👊,0,0,1
☁,0,5,0
🔐,0,5,1
☺,0,1,3
🚀,0,15,4
🙈,0,0,1
📈,0,1,2
🥲,0,3,2
🥵,0,3,0
😈,0,1,0
🔷,0,0,1
💡,0,3,0
😜,0,5,1
🥳,0,10,2
🦊,0,2,0
🖤,0,1,1
💅,0,2,1
😠,0,3,0
🧀,0,1,0
🐝,0,0,1
💎,0,1,0
🥹,0,0,2
➡,0,13,0
🎙,0,1,0
♀,0,3,4
