emoji,pos_count,neg_count,neutral_count
🇲,0,0,2
🇾,0,0,2
😧,0,149,0
😔,0,30,1
😊,3,126,2
😆,0,12,4
😅,0,7,12
🖥,0,6,6
🙌,0,3,12
😁,0,2,9
💻,0,13,12
💕,0,1,1
🤷,0,10,9
🏻,0,4,19
💰,0,4,0
🇨,0,0,3
🇳,0,0,4
🇺,0,8,19
🇸,0,2,6
🇦,0,5,12
🤗,0,5,0
🤸,0,2,0
👋,0,3,3
🤝,0,5,5
🍎,0,5,0
🥇,0,2,0
🥈,0,2,0
🥉,0,2,0
👉,0,6,11
✅,0,2,10
😮,0,1,5
💌,0,1,0
🍀,0,1,2
👍,0,3,15
🤟,0,2,1
🤳,0,1,0
𝗶,0,0,4
𝟳,0,0,1
𝟭,0,0,3
𝟮,0,0,2
𝘁,0,0,2
𝗵,0,0,4
𝗚,0,0,3
𝗲,0,0,2
𝗻,0,0,3
𝟱,0,0,1
𝘀,0,0,4
𝗼,0,0,3
𝘄,0,0,1
𝗳,0,0,2
𝘇,0,0,1
𝗥,0,0,1
𝗕,0,0,1
𝗰,0,0,1
𝗮,0,0,1
𝗹,0,0,1
𝗴,0,0,2
🤭,0,1,1
🤦,0,33,7
🚶,0,0,1
🥊,0,1,0
😂,0,12,57
✨,0,2,7
🌸,0,1,0
😓,0,2,0
🙂,0,1,13
⬇,0,1,1
️,0,63,65
🥺,0,20,6
👇,0,11,8
😄,0,21,2
🇪,0,1,2
😡,0,16,12
☹,0,1,0
🌐,0,1,3
☝,0,0,1
🤔,0,19,6
🫡,0,1,1
😍,0,11,6
👩,0,1,1
👨,0,2,1
🏼,0,6,18
🧑,0,0,2
🏽,0,3,3
🎓,0,0,1
🔥,0,18,12
🤑,0,3,0
💪,0,2,6
🤠,0,2,1
🤣,0,56,21
🙉,0,1,0
😏,0,2,2
📣,0,7,0
🤛,0,1,0
👏,0,7,21
🙃,0,4,4
📸,0,0,1
🦋,0,1,0
💀,0,4,4
🥴,0,18,1
😌,0,0,2
❤,0,18,14
🤩,0,10,4
🤨,0,4,1
😩,0,1,5
♂,0,6,3
📢,0,2,0
🎤,0,0,1
🌟,0,3,2
💯,0,3,5
🤲,0,0,1
🙏,0,3,15
😭,0,37,13
👀,0,6,9
🖱,0,2,1
😎,0,4,10
🏾,0,0,9
🎉,0,0,7
👽,0,3,2
😉,0,4,7
⭐,0,10,0
🙄,0,9,5
🤪,0,5,1
🥰,0,10,2
🍻,0,1,1
🛐,0,0,1
🦁,0,3,0
🤬,0,30,7
🤯,0,4,2
🦾,0,3,1
😇,0,1,2
💙,0,2,10
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,0,1,3
🚀,0,6,13
🙈,0,0,1
📈,0,0,3
🥲,0,0,5
🥵,0,3,0
😈,0,0,1
🔷,0,0,1
💡,0,2,1
😜,0,4,2
🥳,0,8,4
🦊,0,2,0
🖤,0,1,1
💅,0,2,1
😠,0,2,1
🧀,0,1,0
🐝,0,0,1
💎,0,0,1
🥹,0,0,2
➡,0,1,12
🎙,0,0,1
♀,0,0,7
