text_embedder,emoji_embedder,hybrid_accuracy,text_only_accuracy,accuracy_difference
TF-IDF,TF-IDF,74.39570277529096,74.48522829006266,-0.089525514771708
TF-IDF,Word2Vec,75.20143240823634,72.69471799462846,2.506714413607881
TF-IDF,FastText,75.82811101163831,74.03760071620412,1.7905102954341885
TF-IDF,BERT,74.57475380483437,73.9480752014324,0.6266786034019702
TF-IDF,Doc2Vec,73.58997314234557,74.57475380483437,-0.9847806624888022
Word2Vec,TF-IDF,55.41629364368845,56.13249776186213,-0.7162041181736853
Word2Vec,Word2Vec,64.54789615040286,56.84870188003581,7.699194270367052
Word2Vec,FastText,62.66786034019696,55.59534467323187,7.072515666965089
Word2Vec,BERT,57.47538048343778,57.11727842435094,0.3581020590868391
Word2Vec,Doc2Vec,57.6544315129812,58.28111011638317,-0.6266786034019702
FastText,TF-IDF,59.08683974932856,59.355416293643685,-0.268576544315124
FastText,Word2Vec,66.15935541629365,59.08683974932856,7.072515666965089
FastText,FastText,66.60698299015219,59.53446732318711,7.0725156669650815
FastText,BERT,59.355416293643685,59.355416293643685,0.0
FastText,Doc2Vec,58.63921217547001,58.997314234556846,-0.3581020590868391
BERT,TF-IDF,75.7385854968666,76.00716204118174,-0.2685765443151382
BERT,Word2Vec,77.17099373321396,75.55953446732319,1.6114592658907725
BERT,FastText,77.08146821844225,76.36526410026858,0.7162041181736782
BERT,BERT,75.38048343777977,75.29095792300805,0.08952551477172221
BERT,Doc2Vec,74.7538048343778,75.55953446732319,-0.8057296329453862
Doc2Vec,TF-IDF,62.75738585496867,62.846911369740376,-0.089525514771708
Doc2Vec,Word2Vec,70.63563115487914,61.951656222023274,8.683974932855861
Doc2Vec,FastText,68.39749328558639,62.578334825425245,5.819158460161148
Doc2Vec,BERT,62.75738585496867,61.50402864816473,1.2533572068039405
Doc2Vec,Doc2Vec,64.10026857654431,62.39928379588183,1.7009847806624805
