emoji,pos_count,neg_count,neutral_count
🇲,0,0,2
🇾,0,0,2
😧,0,146,3
😔,7,23,1
😊,2,121,8
😆,2,13,1
😅,8,3,8
🖥,4,4,4
🙌,0,2,13
😁,7,3,1
💻,9,5,11
💕,1,0,1
🤷,12,4,3
🏻,4,3,16
💰,3,0,1
🇨,0,3,0
🇳,1,3,0
🇺,5,20,2
🇸,2,5,1
🇦,2,14,1
🤗,0,4,1
🤸,0,2,0
👋,0,1,5
🤝,4,4,2
🍎,0,4,1
🥇,0,2,0
🥈,0,2,0
🥉,0,2,0
👉,0,5,12
✅,0,4,8
😮,5,0,1
💌,0,0,1
🍀,0,0,3
👍,2,3,13
🤟,1,1,1
🤳,1,0,0
𝗶,0,0,4
𝟳,0,0,1
𝟭,0,0,3
𝟮,0,0,2
𝘁,0,0,2
𝗵,0,0,4
𝗚,0,0,3
𝗲,0,0,2
𝗻,0,0,3
𝟱,0,0,1
𝘀,0,0,4
𝗼,0,0,3
𝘄,0,0,1
𝗳,0,0,2
𝘇,0,0,1
𝗥,0,0,1
𝗕,0,0,1
𝗰,0,0,1
𝗮,0,0,1
𝗹,0,0,1
𝗴,0,0,2
🤭,1,0,1
🤦,27,10,3
🚶,0,1,0
🥊,0,1,0
😂,33,15,21
✨,0,2,7
🌸,0,0,1
😓,2,0,0
🙂,5,1,8
⬇,1,0,1
️,39,24,65
🥺,7,13,6
👇,7,0,12
😄,3,20,0
🇪,0,2,1
😡,27,1,0
☹,1,0,0
🌐,0,1,3
☝,0,0,1
🤔,9,13,3
🫡,0,0,2
😍,0,10,7
👩,0,0,2
👨,0,0,3
🏼,7,3,14
🧑,0,1,1
🏽,2,1,3
🎓,0,0,1
🔥,4,0,26
🤑,2,1,0
💪,0,0,8
🤠,0,1,2
🤣,22,43,12
🙉,1,0,0
😏,2,0,2
📣,0,0,7
🤛,0,1,0
👏,7,1,20
🙃,5,1,2
📸,0,0,1
🦋,0,1,0
💀,4,0,4
🥴,11,7,1
😌,1,0,1
❤,2,2,28
🤩,0,5,9
🤨,2,3,0
😩,6,0,0
♂,6,3,0
📢,0,1,1
🎤,0,0,1
🌟,0,0,5
💯,0,1,7
🤲,1,0,0
🙏,5,1,12
😭,31,14,5
👀,4,4,7
🖱,1,1,1
😎,1,4,9
🏾,3,0,6
🎉,2,0,5
👽,0,2,3
😉,1,4,6
⭐,10,0,0
🙄,11,1,2
🤪,2,4,0
🥰,1,6,5
🍻,0,1,1
🛐,0,1,0
🦁,0,0,3
🤬,33,4,0
🤯,3,2,1
🦾,0,2,2
😇,1,0,2
💙,0,5,7
🥑,0,1,0
👊,0,0,1
☁,0,0,5
🔐,0,1,5
☺,0,3,1
🚀,1,0,18
🙈,0,1,0
📈,0,1,2
🥲,2,0,3
🥵,2,1,0
😈,0,0,1
🔷,0,0,1
💡,0,1,2
😜,1,0,5
🥳,0,3,9
🦊,0,2,0
🖤,0,0,2
💅,0,1,2
😠,3,0,0
🧀,0,1,0
🐝,0,0,1
💎,0,0,1
🥹,1,1,0
➡,0,2,11
🎙,0,0,1
♀,6,1,0
