emoji,pos_count,neg_count,neutral_count
🇲,0,0,2
🇾,0,0,2
😧,0,149,0
😔,7,24,0
😊,1,122,8
😆,1,12,3
😅,3,7,9
🖥,3,2,7
🙌,0,1,14
😁,3,2,6
💻,6,4,15
💕,1,0,1
🤷,11,3,5
🏻,3,3,17
💰,3,0,1
🇨,0,3,0
🇳,0,4,0
🇺,4,18,5
🇸,2,3,3
🇦,2,14,1
🤗,1,0,4
🤸,0,2,0
👋,0,1,5
🤝,3,0,7
🍎,1,0,4
🥇,0,1,1
🥈,0,1,1
🥉,0,1,1
👉,0,0,17
✅,0,1,11
😮,1,0,5
💌,0,0,1
🍀,0,0,3
👍,1,2,15
🤟,1,1,1
🤳,1,0,0
𝗶,0,0,4
𝟳,0,0,1
𝟭,0,0,3
𝟮,0,0,2
𝘁,0,0,2
𝗵,0,0,4
𝗚,0,0,3
𝗲,0,0,2
𝗻,0,0,3
𝟱,0,0,1
𝘀,0,0,4
𝗼,0,0,3
𝘄,0,0,1
𝗳,0,0,2
𝘇,0,0,1
𝗥,0,0,1
𝗕,0,0,1
𝗰,0,0,1
𝗮,0,0,1
𝗹,0,0,1
𝗴,0,0,2
🤭,1,0,1
🤦,28,8,4
🚶,0,0,1
🥊,0,1,0
😂,23,16,30
✨,0,2,7
🌸,0,0,1
😓,2,0,0
🙂,5,1,8
⬇,1,0,1
️,32,16,80
🥺,5,13,8
👇,7,0,12
😄,2,21,0
🇪,0,1,2
😡,21,2,5
☹,1,0,0
🌐,0,1,3
☝,0,0,1
🤔,5,14,6
🫡,0,0,2
😍,0,12,5
👩,0,0,2
👨,0,0,3
🏼,6,0,18
🧑,0,0,2
🏽,1,0,5
🎓,0,0,1
🔥,1,2,27
🤑,1,0,2
💪,0,1,7
🤠,0,1,2
🤣,23,26,28
🙉,1,0,0
😏,2,0,2
📣,0,0,7
🤛,0,0,1
👏,6,1,21
🙃,4,1,3
📸,0,0,1
🦋,0,0,1
💀,3,1,4
🥴,3,13,3
😌,0,0,2
❤,2,2,28
🤩,0,1,13
🤨,3,2,0
😩,1,2,3
♂,5,2,2
📢,0,0,2
🎤,0,0,1
🌟,0,0,5
💯,0,2,6
🤲,0,1,0
🙏,2,1,15
😭,32,11,7
👀,4,1,10
🖱,0,1,2
😎,0,4,10
🏾,3,1,5
🎉,0,0,7
👽,0,1,4
😉,1,3,7
⭐,10,0,0
🙄,10,1,3
🤪,1,2,3
🥰,0,5,7
🍻,0,1,1
🛐,0,0,1
🦁,0,0,3
🤬,16,3,18
🤯,1,3,2
🦾,0,2,2
😇,0,0,3
💙,0,0,12
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,3,0,1
🚀,0,0,19
🙈,0,1,0
📈,0,1,2
🥲,2,1,2
🥵,3,0,0
😈,0,0,1
🔷,0,0,1
💡,0,0,3
😜,0,0,6
🥳,0,2,10
🦊,0,2,0
🖤,0,1,1
💅,0,0,3
😠,2,1,0
🧀,0,1,0
🐝,0,0,1
💎,0,0,1
🥹,1,1,0
➡,0,0,13
🎙,0,0,1
♀,4,0,3
