emoji,pos_count,neg_count,neutral_count
🇲,0,0,2
🇾,0,0,2
😧,0,149,0
😔,10,21,0
😊,2,124,5
😆,1,14,1
😅,9,1,9
🖥,4,1,7
🙌,1,0,14
😁,7,1,3
💻,4,8,13
💕,1,0,1
🤷,13,1,5
🏻,6,1,16
💰,0,3,1
🇨,2,1,0
🇳,3,1,0
🇺,6,14,7
🇸,3,3,2
🇦,3,9,5
🤗,1,4,0
🤸,0,0,2
👋,1,0,5
🤝,5,0,5
🍎,0,4,1
🥇,0,2,0
🥈,0,2,0
🥉,0,2,0
👉,0,2,15
✅,0,3,9
😮,5,0,1
💌,1,0,0
🍀,0,0,3
👍,2,0,16
🤟,1,0,2
🤳,1,0,0
𝗶,0,0,4
𝟳,0,0,1
𝟭,0,0,3
𝟮,0,0,2
𝘁,0,0,2
𝗵,0,0,4
𝗚,0,0,3
𝗲,0,0,2
𝗻,0,0,3
𝟱,0,0,1
𝘀,0,0,4
𝗼,0,0,3
𝘄,0,0,1
𝗳,0,0,2
𝘇,0,0,1
𝗥,0,0,1
𝗕,0,0,1
𝗰,0,0,1
𝗮,0,0,1
𝗹,0,0,1
𝗴,0,0,2
🤭,1,0,1
🤦,29,6,5
🚶,0,1,0
🥊,1,0,0
😂,35,10,24
✨,2,0,7
🌸,0,0,1
😓,2,0,0
🙂,5,0,9
⬇,1,0,1
️,39,14,75
🥺,9,3,14
👇,7,4,8
😄,2,20,1
🇪,0,2,1
😡,22,0,6
☹,1,0,0
🌐,0,1,3
☝,0,0,1
🤔,10,12,3
🫡,0,0,2
😍,0,9,8
👩,0,0,2
👨,0,0,3
🏼,7,3,14
🧑,0,0,2
🏽,1,0,5
🎓,0,0,1
🔥,3,0,27
🤑,1,0,2
💪,0,1,7
🤠,0,0,3
🤣,38,21,18
🙉,1,0,0
😏,2,1,1
📣,0,0,7
🤛,0,0,1
👏,6,0,22
🙃,3,0,5
📸,0,0,1
🦋,0,0,1
💀,4,0,4
🥴,14,1,4
😌,0,0,2
❤,2,2,28
🤩,0,1,13
🤨,3,1,1
😩,2,1,3
♂,5,1,3
📢,0,0,2
🎤,0,0,1
🌟,0,0,5
💯,0,0,8
🤲,0,1,0
🙏,4,2,12
😭,37,11,2
👀,5,3,7
🖱,1,0,2
😎,2,2,10
🏾,3,0,6
🎉,0,0,7
👽,2,0,3
😉,1,3,7
⭐,10,0,0
🙄,12,0,2
🤪,1,1,4
🥰,1,3,8
🍻,0,0,2
🛐,0,0,1
🦁,0,0,3
🤬,17,1,19
🤯,3,1,2
🦾,1,1,2
😇,1,0,2
💙,3,0,9
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,3,0,1
🚀,0,1,18
🙈,0,1,0
📈,0,1,2
🥲,4,0,1
🥵,2,0,1
😈,0,0,1
🔷,0,0,1
💡,0,0,3
😜,0,2,4
🥳,0,1,11
🦊,0,1,1
🖤,0,1,1
💅,0,0,3
😠,2,0,1
🧀,0,1,0
🐝,0,0,1
💎,0,0,1
🥹,1,1,0
➡,0,2,11
🎙,0,0,1
♀,5,0,2
