emoji,pos_count,neg_count,neutral_count
🇲,0,0,2
🇾,0,0,2
😧,2,144,3
😔,7,21,3
😊,1,123,7
😆,1,14,1
😅,3,5,11
🖥,4,1,7
🙌,0,2,13
😁,4,3,4
💻,4,4,17
💕,1,0,1
🤷,10,5,4
🏻,3,4,16
💰,3,0,1
🇨,0,3,0
🇳,1,3,0
🇺,1,15,11
🇸,0,5,3
🇦,1,8,8
🤗,0,4,1
🤸,0,2,0
👋,0,0,6
🤝,3,3,4
🍎,1,0,4
🥇,0,2,0
🥈,0,2,0
🥉,0,2,0
👉,0,4,13
✅,0,4,8
😮,1,0,5
💌,0,1,0
🍀,0,0,3
👍,1,2,15
🤟,1,1,1
🤳,1,0,0
𝗶,0,0,4
𝟳,0,0,1
𝟭,0,0,3
𝟮,0,0,2
𝘁,0,0,2
𝗵,0,0,4
𝗚,0,0,3
𝗲,0,0,2
𝗻,0,0,3
𝟱,0,0,1
𝘀,0,0,4
𝗼,0,0,3
𝘄,0,0,1
𝗳,0,0,2
𝘇,0,0,1
𝗥,0,0,1
𝗕,0,0,1
𝗰,0,0,1
𝗮,0,0,1
𝗹,0,0,1
𝗴,0,0,2
🤭,1,0,1
🤦,11,25,4
🚶,0,1,0
🥊,0,1,0
😂,27,18,24
✨,0,2,7
🌸,0,0,1
😓,2,0,0
🙂,4,1,9
⬇,1,0,1
️,37,19,72
🥺,1,18,7
👇,6,2,11
😄,2,19,2
🇪,0,2,1
😡,22,1,5
☹,1,0,0
🌐,0,1,3
☝,0,0,1
🤔,4,15,6
🫡,0,0,2
😍,0,10,7
👩,0,0,2
👨,0,0,3
🏼,5,1,18
🧑,0,1,1
🏽,1,0,5
🎓,0,0,1
🔥,1,2,27
🤑,1,1,1
💪,0,0,8
🤠,0,1,2
🤣,18,33,26
🙉,1,0,0
😏,2,1,1
📣,0,0,7
🤛,0,1,0
👏,5,0,23
🙃,3,1,4
📸,0,0,1
🦋,0,1,0
💀,4,0,4
🥴,5,13,1
😌,0,0,2
❤,1,2,29
🤩,0,2,12
🤨,0,4,1
😩,1,2,3
♂,5,3,1
📢,0,0,2
🎤,0,0,1
🌟,0,0,5
💯,0,1,7
🤲,0,1,0
🙏,3,2,13
😭,33,14,3
👀,4,3,8
🖱,1,0,2
😎,1,4,9
🏾,3,0,6
🎉,2,0,5
👽,0,0,5
😉,1,4,6
⭐,10,0,0
🙄,10,0,4
🤪,0,5,1
🥰,2,4,6
🍻,0,0,2
🛐,0,0,1
🦁,0,0,3
🤬,16,5,16
🤯,1,3,2
🦾,0,2,2
😇,1,0,2
💙,0,0,12
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,1,5
☺,3,0,1
🚀,0,1,18
🙈,0,1,0
📈,0,1,2
🥲,3,0,2
🥵,2,1,0
😈,0,0,1
🔷,0,0,1
💡,0,0,3
😜,0,1,5
🥳,0,4,8
🦊,0,2,0
🖤,0,1,1
💅,0,0,3
😠,2,0,1
🧀,0,1,0
🐝,0,0,1
💎,0,0,1
🥹,1,1,0
➡,0,2,11
🎙,0,0,1
♀,4,1,2
