emoji,pos_count,neg_count,neutral_count
🇲,0,0,2
🇾,0,0,2
😧,0,146,3
😔,7,22,2
😊,1,119,11
😆,0,14,2
😅,1,6,12
🖥,1,4,7
🙌,1,5,9
😁,3,3,5
💻,3,4,18
💕,0,1,1
🤷,4,10,5
🏻,3,13,7
💰,0,1,3
🇨,0,1,2
🇳,1,1,2
🇺,0,11,16
🇸,0,2,6
🇦,0,10,7
🤗,0,4,1
🤸,0,2,0
👋,0,3,3
🤝,0,7,3
🍎,1,0,4
🥇,0,1,1
🥈,0,1,1
🥉,0,1,1
👉,0,1,16
✅,0,7,5
😮,5,0,1
💌,0,0,1
🍀,0,0,3
👍,1,7,10
🤟,0,3,0
🤳,0,1,0
𝗶,0,0,4
𝟳,0,0,1
𝟭,0,0,3
𝟮,0,0,2
𝘁,0,0,2
𝗵,0,0,4
𝗚,0,0,3
𝗲,0,0,2
𝗻,0,0,3
𝟱,0,0,1
𝘀,0,0,4
𝗼,0,0,3
𝘄,0,0,1
𝗳,0,0,2
𝘇,0,0,1
𝗥,0,0,1
𝗕,0,0,1
𝗰,0,0,1
𝗮,0,0,1
𝗹,0,0,1
𝗴,0,0,2
🤭,0,1,1
🤦,2,18,20
🚶,0,0,1
🥊,0,1,0
😂,6,38,25
✨,1,3,5
🌸,0,0,1
😓,2,0,0
🙂,4,5,5
⬇,0,0,2
️,10,23,95
🥺,3,19,4
👇,0,2,17
😄,2,21,0
🇪,1,0,2
😡,13,9,6
☹,0,0,1
🌐,0,1,3
☝,0,1,0
🤔,6,12,7
🫡,0,1,1
😍,0,13,4
👩,0,1,1
👨,1,1,1
🏼,1,12,11
🧑,0,0,2
🏽,1,2,3
🎓,0,0,1
🔥,3,1,26
🤑,0,3,0
💪,0,4,4
🤠,0,2,1
🤣,3,58,16
🙉,1,0,0
😏,2,1,1
📣,0,0,7
🤛,0,1,0
👏,0,12,16
🙃,5,1,2
📸,0,0,1
🦋,0,1,0
💀,2,4,2
🥴,0,17,2
😌,0,1,1
❤,1,2,29
🤩,0,5,9
🤨,1,3,1
😩,1,3,2
♂,3,1,5
📢,0,0,2
🎤,0,1,0
🌟,0,5,0
💯,0,2,6
🤲,0,0,1
🙏,3,6,9
😭,25,14,11
👀,1,5,9
🖱,0,1,2
😎,0,6,8
🏾,0,5,4
🎉,0,1,6
👽,0,1,4
😉,1,5,5
⭐,0,0,10
🙄,7,6,1
🤪,1,5,0
🥰,1,10,1
🍻,0,1,1
🛐,0,0,1
🦁,0,3,0
🤬,14,6,17
🤯,2,2,2
🦾,0,2,2
😇,1,1,1
💙,0,3,9
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,0,3,1
🚀,0,7,12
🙈,0,1,0
📈,0,1,2
🥲,1,1,3
🥵,0,3,0
😈,0,0,1
🔷,0,0,1
💡,0,1,2
😜,1,5,0
🥳,0,9,3
🦊,0,2,0
🖤,0,0,2
💅,1,0,2
😠,1,1,1
🧀,0,1,0
🐝,0,0,1
💎,0,0,1
🥹,0,1,1
➡,0,3,10
🎙,0,0,1
♀,1,2,4
