emoji,pos_count,neg_count,neutral_count
🇲,0,2,0
🇾,0,2,0
😧,0,148,1
😔,10,21,0
😊,0,125,6
😆,1,15,0
😅,3,4,12
🖥,3,6,3
🙌,1,5,9
😁,4,0,7
💻,8,6,11
💕,0,0,2
🤷,7,5,7
🏻,4,5,14
💰,0,0,4
🇨,0,0,3
🇳,1,0,3
🇺,1,5,21
🇸,1,2,5
🇦,0,2,15
🤗,0,1,4
🤸,1,0,1
👋,0,3,3
🤝,0,2,8
🍎,1,0,4
🥇,0,1,1
🥈,0,1,1
🥉,0,1,1
👉,3,1,13
✅,0,1,11
😮,5,0,1
💌,0,0,1
🍀,0,0,3
👍,3,1,14
🤟,0,3,0
🤳,0,1,0
𝗶,0,4,0
𝟳,0,1,0
𝟭,0,3,0
𝟮,0,2,0
𝘁,0,2,0
𝗵,0,4,0
𝗚,0,3,0
𝗲,0,2,0
𝗻,0,3,0
𝟱,0,1,0
𝘀,0,4,0
𝗼,0,3,0
𝘄,0,1,0
𝗳,0,2,0
𝘇,0,1,0
𝗥,0,1,0
𝗕,0,1,0
𝗰,0,1,0
𝗮,0,1,0
𝗹,0,1,0
𝗴,0,2,0
🤭,0,0,2
🤦,22,7,11
🚶,0,1,0
🥊,0,1,0
😂,13,9,47
✨,1,1,7
🌸,0,0,1
😓,2,0,0
🙂,4,2,8
⬇,1,0,1
️,35,19,74
🥺,8,6,12
👇,0,7,12
😄,2,21,0
🇪,0,2,1
😡,19,1,8
☹,1,0,0
🌐,2,1,1
☝,1,0,0
🤔,8,10,7
🫡,0,0,2
😍,1,10,6
👩,1,0,1
👨,2,0,1
🏼,1,15,8
🧑,0,0,2
🏽,2,1,3
🎓,0,0,1
🔥,3,3,24
🤑,1,0,2
💪,3,3,2
🤠,0,1,2
🤣,19,29,29
🙉,1,0,0
😏,2,0,2
📣,0,0,7
🤛,0,1,0
👏,1,10,17
🙃,5,1,2
📸,0,0,1
🦋,0,0,1
💀,3,2,3
🥴,2,13,4
😌,0,0,2
❤,2,4,26
🤩,2,2,10
🤨,3,1,1
😩,1,3,2
♂,5,0,4
📢,0,0,2
🎤,0,0,1
🌟,0,4,1
💯,0,3,5
🤲,0,0,1
🙏,4,3,11
😭,26,13,11
👀,1,2,12
🖱,0,2,1
😎,0,4,10
🏾,4,2,3
🎉,0,3,4
👽,0,2,3
😉,3,3,5
⭐,10,0,0
🙄,10,2,2
🤪,5,0,1
🥰,4,7,1
🍻,0,1,1
🛐,0,1,0
🦁,0,3,0
🤬,31,1,5
🤯,2,3,1
🦾,0,1,3
😇,1,0,2
💙,1,4,7
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,3,1,0
🚀,0,2,17
🙈,1,0,0
📈,0,0,3
🥲,2,0,3
🥵,2,0,1
😈,0,0,1
🔷,0,0,1
💡,0,0,3
😜,2,0,4
🥳,2,2,8
🦊,1,0,1
🖤,0,1,1
💅,1,2,0
😠,2,0,1
🧀,0,0,1
🐝,0,0,1
💎,0,1,0
🥹,0,0,2
➡,0,1,12
🎙,0,0,1
♀,4,0,3
🚨,1,0,11
☠,3,0,0
☕,0,0,2
💜,0,0,5
𝐃,0,1,0
𝐞,0,7,2
𝐥,0,5,2
𝐓,0,2,0
𝐡,0,1,0
𝐁,0,1,0
𝐬,0,3,1
𝐭,0,4,1
𝐏,0,1,0
𝐫,0,2,2
𝐟,0,2,0
𝐨,0,7,3
𝐦,0,1,0
𝐢,0,3,0
𝐧,0,3,1
𝐠,0,1,0
𝐍,0,1,0
𝐛,0,2,0
𝐤,0,1,0
𝟐,0,2,0
𝟎,0,1,0
𝟏,0,1,0
🦉,0,1,0
🤓,2,0,3
🔗,0,0,5
⚠,0,0,2
😬,1,0,2
😫,1,0,0
📩,0,1,1
🔬,0,0,1
💚,0,0,2
🧡,0,0,2
💛,0,2,1
⛈,0,1,0
⚔,0,1,0
😘,0,0,3
🤤,0,0,4
🎧,0,0,1
🚗,0,0,1
🤌,0,0,2
🤮,2,4,0
👬,1,0,0
🎮,0,0,1
😲,1,0,0
♥,0,2,2
💔,0,1,0
😛,1,2,0
😑,1,0,2
🧠,0,0,2
📴,1,0,0
🏆,0,1,7
🐠,0,1,0
🌍,0,1,1
❌,0,0,1
😢,1,0,1
😱,0,0,1
💃,0,1,0
🎊,0,2,0
⤵,0,0,2
💸,1,3,0
🤙,0,2,1
🪶,0,0,1
👑,1,0,2
🇮,1,0,2
🤢,4,1,0
🤞,2,1,2
👻,0,2,1
😶,0,0,1
👁,0,0,2
👄,0,0,1
📌,0,0,1
🌖,0,0,1
🧵,1,0,3
🔌,0,1,1
😒,3,5,0
💭,0,1,0
▫,0,6,0
🪑,0,1,0
😻,0,1,0
📷,0,1,0
🌳,1,0,0
😐,0,0,2
👈,0,0,1
🤘,0,1,0
🐧,0,1,0
💖,1,0,0
💾,0,0,1
🌉,0,1,0
🇰,0,2,0
🇷,0,1,1
🗨,0,0,2
💬,0,0,2
♻,0,0,1
🧙,1,1,0
🤧,1,0,0
🙋,0,0,1
🧢,0,0,1
🔹,0,0,3
🤐,0,0,2
🪬,0,1,0
🌀,0,1,0
📺,0,1,0
😳,0,0,2
😦,1,0,0
🍖,0,1,0
🐶,0,0,1
👎,0,1,0
🥁,0,1,0
😟,0,1,0
😕,0,1,0
🫤,0,1,0
✌,0,0,2
🤡,7,0,0
💤,0,0,1
👧,0,3,1
✋,0,1,0
💫,0,0,2
☀,1,2,3
🦅,0,1,0
😰,1,0,0
😖,1,0,0
▶,1,0,1
🚫,0,0,1
𝐀,0,1,0
𝐯,0,1,0
𝐚,0,4,0
