emoji,pos_count,neg_count,neutral_count
🇲,0,2,0
🇾,0,2,0
😧,0,149,0
😔,8,23,0
😊,0,129,2
😆,0,15,1
😅,1,1,17
🖥,2,1,9
🙌,2,0,13
😁,1,0,10
💻,2,0,23
💕,0,0,2
🤷,4,4,11
🏻,4,0,19
💰,0,1,3
🇨,0,0,3
🇳,1,0,3
🇺,1,7,19
🇸,1,0,7
🇦,0,7,10
🤗,0,5,0
🤸,0,0,2
👋,0,1,5
🤝,0,1,9
🍎,1,4,0
🥇,0,1,1
🥈,0,1,1
🥉,0,1,1
👉,0,1,16
✅,0,0,12
😮,1,0,5
💌,0,0,1
🍀,0,0,3
👍,2,0,16
🤟,0,1,2
🤳,0,1,0
𝗶,0,0,4
𝟳,0,0,1
𝟭,0,0,3
𝟮,0,0,2
𝘁,0,0,2
𝗵,0,0,4
𝗚,0,0,3
𝗲,0,0,2
𝗻,0,0,3
𝟱,0,0,1
𝘀,0,0,4
𝗼,0,0,3
𝘄,0,0,1
𝗳,0,0,2
𝘇,0,0,1
𝗥,0,0,1
𝗕,0,0,1
𝗰,0,0,1
𝗮,0,0,1
𝗹,0,0,1
𝗴,0,0,2
🤭,1,0,1
🤦,32,1,7
🚶,0,0,1
🥊,1,0,0
😂,10,42,17
✨,0,0,9
🌸,0,0,1
😓,2,0,0
🙂,1,0,13
⬇,0,0,2
️,19,4,105
🥺,2,12,12
👇,0,1,18
😄,2,21,0
🇪,0,1,2
😡,22,0,6
☹,1,0,0
🌐,0,0,4
☝,0,0,1
🤔,4,20,1
🫡,0,0,2
😍,1,12,4
👩,0,0,2
👨,1,0,2
🏼,0,3,21
🧑,0,0,2
🏽,2,0,4
🎓,0,0,1
🔥,2,1,27
🤑,2,0,1
💪,3,1,4
🤠,0,1,2
🤣,12,26,39
🙉,1,0,0
😏,1,1,2
📣,0,1,6
🤛,0,0,1
👏,0,4,24
🙃,3,2,3
📸,0,0,1
🦋,0,1,0
💀,4,0,4
🥴,1,7,11
😌,0,0,2
❤,1,1,30
🤩,1,0,13
🤨,1,3,1
😩,0,0,6
♂,5,0,4
📢,0,0,2
🎤,0,0,1
🌟,0,0,5
💯,0,0,8
🤲,0,0,1
🙏,2,0,16
😭,28,14,8
👀,0,6,9
🖱,0,0,3
😎,0,0,14
🏾,0,0,9
🎉,0,0,7
👽,0,0,5
😉,1,1,9
⭐,0,0,10
🙄,11,2,1
🤪,1,0,5
🥰,2,6,4
🍻,0,1,1
🛐,0,0,1
🦁,0,3,0
🤬,19,0,18
🤯,2,2,2
🦾,0,2,2
😇,1,0,2
💙,1,1,10
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,0,0,4
🚀,0,2,17
🙈,1,0,0
📈,0,0,3
🥲,3,0,2
🥵,0,0,3
😈,0,0,1
🔷,0,0,1
💡,0,0,3
😜,0,2,4
🥳,0,2,10
🦊,0,0,2
🖤,0,0,2
💅,0,0,3
😠,3,0,0
🧀,0,1,0
🐝,0,0,1
💎,0,0,1
🥹,1,1,0
➡,0,0,13
🎙,0,0,1
♀,1,0,6
🚨,1,0,11
☠,3,0,0
☕,0,0,2
💜,0,1,4
𝐃,0,0,1
𝐞,0,0,9
𝐥,0,0,7
𝐓,0,0,2
𝐡,0,0,1
𝐁,0,0,1
𝐬,0,0,4
𝐭,0,0,5
𝐏,0,0,1
𝐫,0,0,4
𝐟,0,0,2
𝐨,0,0,10
𝐦,0,0,1
𝐢,0,0,3
𝐧,0,0,4
𝐠,0,0,1
𝐍,0,0,1
𝐛,0,0,2
𝐤,0,0,1
𝟐,0,0,2
𝟎,0,0,1
𝟏,0,0,1
🦉,0,0,1
🤓,2,3,0
🔗,0,0,5
⚠,0,0,2
😬,1,0,2
😫,1,0,0
📩,0,0,2
🔬,0,0,1
💚,0,1,1
🧡,0,2,0
💛,0,1,2
⛈,0,0,1
⚔,0,0,1
😘,0,2,1
🤤,0,0,4
🎧,0,0,1
🚗,0,0,1
🤌,0,0,2
🤮,1,0,5
👬,1,0,0
🎮,0,0,1
😲,1,0,0
♥,2,1,1
💔,0,1,0
😛,0,0,3
😑,1,0,2
🧠,0,2,0
📴,1,0,0
🏆,0,0,8
🐠,0,0,1
🌍,0,0,2
❌,0,0,1
😢,1,0,1
😱,1,0,0
💃,0,0,1
🎊,0,0,2
⤵,0,1,1
💸,0,3,1
🤙,0,1,2
🪶,0,0,1
👑,0,0,3
🇮,1,0,2
🤢,0,1,4
🤞,0,1,4
👻,0,2,1
😶,0,1,0
👁,0,0,2
👄,0,0,1
📌,0,0,1
🌖,0,0,1
🧵,0,2,2
🔌,0,0,2
😒,3,5,0
💭,0,0,1
▫,0,0,6
🪑,0,0,1
😻,0,0,1
📷,0,0,1
🌳,0,0,1
😐,0,0,2
👈,0,0,1
🤘,1,0,0
🐧,1,0,0
💖,0,0,1
💾,0,1,0
🌉,0,0,1
🇰,0,1,1
🇷,0,0,2
🗨,0,0,2
💬,0,0,2
♻,0,0,1
🧙,0,1,1
🤧,0,1,0
🙋,0,0,1
🧢,0,0,1
🔹,0,0,3
🤐,0,2,0
🪬,0,0,1
🌀,0,0,1
📺,0,0,1
😳,0,0,2
😦,1,0,0
🍖,0,0,1
🐶,0,0,1
👎,0,0,1
🥁,0,1,0
😟,0,1,0
😕,0,1,0
🫤,0,1,0
✌,0,0,2
🤡,3,0,4
💤,0,1,0
👧,0,0,4
✋,0,0,1
💫,0,0,2
☀,1,0,5
🦅,0,0,1
😰,1,0,0
😖,1,0,0
▶,0,0,2
🚫,0,0,1
𝐀,0,0,1
𝐯,0,0,1
𝐚,0,0,4
