emoji,pos_count,neg_count,neutral_count
🇲,0,1,1
🇾,0,1,1
😧,0,148,1
😔,9,22,0
😊,1,117,13
😆,0,14,2
😅,0,13,6
🖥,1,6,5
🙌,1,8,6
😁,2,4,5
💻,2,6,17
💕,0,0,2
🤷,4,12,3
🏻,3,9,11
💰,0,3,1
🇨,0,2,1
🇳,1,2,1
🇺,0,11,16
🇸,0,2,6
🇦,0,8,9
🤗,0,3,2
🤸,0,2,0
👋,0,5,1
🤝,2,5,3
🍎,1,4,0
🥇,0,1,1
🥈,0,1,1
🥉,0,1,1
👉,2,4,11
✅,4,4,4
😮,5,0,1
💌,0,0,1
🍀,0,2,1
👍,1,10,7
🤟,0,3,0
🤳,0,1,0
𝗶,0,4,0
𝟳,0,1,0
𝟭,0,3,0
𝟮,0,2,0
𝘁,0,2,0
𝗵,0,4,0
𝗚,0,3,0
𝗲,0,2,0
𝗻,0,3,0
𝟱,0,1,0
𝘀,0,4,0
𝗼,0,3,0
𝘄,0,1,0
𝗳,0,2,0
𝘇,0,1,0
𝗥,0,1,0
𝗕,0,1,0
𝗰,0,1,0
𝗮,0,1,0
𝗹,0,1,0
𝗴,0,2,0
🤭,0,1,1
🤦,4,32,4
🚶,0,1,0
🥊,0,1,0
😂,12,42,15
✨,0,4,5
🌸,0,0,1
😓,2,0,0
🙂,4,7,3
⬇,1,0,1
️,24,51,53
🥺,2,21,3
👇,1,4,14
😄,2,21,0
🇪,0,1,2
😡,16,5,7
☹,1,0,0
🌐,1,1,2
☝,0,1,0
🤔,4,18,3
🫡,0,0,2
😍,0,12,5
👩,1,0,1
👨,2,0,1
🏼,1,13,10
🧑,0,0,2
🏽,1,2,3
🎓,0,0,1
🔥,3,16,11
🤑,0,3,0
💪,1,1,6
🤠,0,3,0
🤣,11,57,9
🙉,1,0,0
😏,1,2,1
📣,0,2,5
🤛,0,1,0
👏,0,10,18
🙃,4,2,2
📸,0,0,1
🦋,0,1,0
💀,2,4,2
🥴,0,18,1
😌,0,1,1
❤,1,17,14
🤩,2,7,5
🤨,1,4,0
😩,0,4,2
♂,3,2,4
📢,0,1,1
🎤,0,1,0
🌟,0,2,3
💯,0,1,7
🤲,0,1,0
🙏,4,5,9
😭,25,20,5
👀,1,5,9
🖱,0,2,1
😎,1,10,3
🏾,3,4,2
🎉,0,3,4
👽,0,2,3
😉,2,7,2
⭐,10,0,0
🙄,9,4,1
🤪,2,3,1
🥰,0,9,3
🍻,0,2,0
🛐,0,1,0
🦁,0,3,0
🤬,29,6,2
🤯,2,3,1
🦾,0,4,0
😇,1,2,0
💙,0,4,8
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,0,3,1
🚀,0,6,13
🙈,0,1,0
📈,0,1,2
🥲,2,3,0
🥵,1,2,0
😈,0,0,1
🔷,0,0,1
💡,0,2,1
😜,2,4,0
🥳,1,9,2
🦊,0,2,0
🖤,0,1,1
💅,1,0,2
😠,2,1,0
🧀,0,1,0
🐝,0,1,0
💎,0,0,1
🥹,0,2,0
➡,0,6,7
🎙,0,0,1
♀,2,5,0
🚨,1,1,10
☠,3,0,0
☕,0,2,0
💜,0,3,2
𝐃,0,0,1
𝐞,0,0,9
𝐥,0,0,7
𝐓,0,0,2
𝐡,0,0,1
𝐁,0,0,1
𝐬,0,0,4
𝐭,0,0,5
𝐏,0,0,1
𝐫,0,0,4
𝐟,0,0,2
𝐨,0,0,10
𝐦,0,0,1
𝐢,0,0,3
𝐧,0,0,4
𝐠,0,0,1
𝐍,0,0,1
𝐛,0,0,2
𝐤,0,0,1
𝟐,0,0,2
𝟎,0,0,1
𝟏,0,0,1
🦉,0,1,0
🤓,2,2,1
🔗,0,2,3
⚠,0,2,0
😬,1,0,2
😫,1,0,0
📩,0,0,2
🔬,0,1,0
💚,0,1,1
🧡,0,2,0
💛,0,1,2
⛈,0,1,0
⚔,0,1,0
😘,0,2,1
🤤,0,1,3
🎧,0,0,1
🚗,0,0,1
🤌,1,1,0
🤮,1,5,0
👬,1,0,0
🎮,0,0,1
😲,1,0,0
♥,1,2,1
💔,0,1,0
😛,0,1,2
😑,1,1,1
🧠,0,2,0
📴,0,1,0
🏆,0,2,6
🐠,0,0,1
🌍,0,0,2
❌,0,1,0
😢,0,1,1
😱,1,0,0
💃,0,1,0
🎊,0,2,0
⤵,0,0,2
💸,0,4,0
🤙,0,2,1
🪶,0,1,0
👑,1,1,1
🇮,1,0,2
🤢,0,5,0
🤞,2,2,1
👻,0,2,1
😶,0,1,0
👁,0,0,2
👄,0,0,1
📌,0,0,1
🌖,0,0,1
🧵,0,4,0
🔌,0,2,0
😒,3,5,0
💭,0,0,1
▫,0,0,6
🪑,0,0,1
😻,0,0,1
📷,0,0,1
🌳,0,1,0
😐,1,1,0
👈,0,0,1
🤘,0,1,0
🐧,0,1,0
💖,1,0,0
💾,0,0,1
🌉,0,1,0
🇰,0,2,0
🇷,0,2,0
🗨,0,0,2
💬,0,0,2
♻,0,0,1
🧙,0,2,0
🤧,0,1,0
🙋,0,0,1
🧢,0,0,1
🔹,0,0,3
🤐,0,2,0
🪬,0,0,1
🌀,0,0,1
📺,0,0,1
😳,0,1,1
😦,1,0,0
🍖,0,1,0
🐶,0,0,1
👎,0,1,0
🥁,0,1,0
😟,0,1,0
😕,0,1,0
🫤,0,1,0
✌,0,1,1
🤡,4,3,0
💤,0,0,1
👧,0,0,4
✋,0,1,0
💫,0,1,1
☀,0,2,4
🦅,0,0,1
😰,0,1,0
😖,1,0,0
▶,0,0,2
🚫,0,0,1
𝐀,0,0,1
𝐯,0,0,1
𝐚,0,0,4
𝐊,0,0,2
𝐩,0,0,2
𝐈,0,0,1
𝐒,0,0,1
𝐮,0,0,2
🤹,0,3,0
🥩,0,1,0
😞,1,0,2
🎈,0,2,0
⚡,0,1,1
🧝,0,1,0
⚰,1,0,0
😴,0,1,0
😤,0,2,0
𝐰,0,0,1
𝐌,0,0,1
🤖,0,1,0
😀,0,3,1
🍆,0,1,0
🧐,1,3,0
👆,0,1,0
⬆,0,1,0
🟣,0,0,1
🔝,0,0,1
💩,1,0,0
🙁,1,0,0
🔒,0,0,2
