emoji,pos_count,neg_count,neutral_count
🇲,0,0,2
🇾,0,0,2
😧,0,149,0
😔,13,18,0
😊,0,129,2
😆,1,15,0
😅,8,1,10
🖥,5,2,5
🙌,2,0,13
😁,0,0,11
💻,4,0,21
💕,0,0,2
🤷,10,1,8
🏻,4,0,19
💰,0,0,4
🇨,0,0,3
🇳,1,0,3
🇺,2,0,25
🇸,1,0,7
🇦,1,0,16
🤗,0,5,0
🤸,0,0,2
👋,0,0,6
🤝,2,0,8
🍎,1,4,0
🥇,0,1,1
🥈,0,1,1
🥉,0,1,1
👉,0,1,16
✅,0,0,12
😮,5,0,1
💌,0,0,1
🍀,0,0,3
👍,2,0,16
🤟,0,2,1
🤳,0,1,0
𝗶,0,0,4
𝟳,0,0,1
𝟭,0,0,3
𝟮,0,0,2
𝘁,0,0,2
𝗵,0,0,4
𝗚,0,0,3
𝗲,0,0,2
𝗻,0,0,3
𝟱,0,0,1
𝘀,0,0,4
𝗼,0,0,3
𝘄,0,0,1
𝗳,0,0,2
𝘇,0,0,1
𝗥,0,0,1
𝗕,0,0,1
𝗰,0,0,1
𝗮,0,0,1
𝗹,0,0,1
𝗴,0,0,2
🤭,2,0,0
🤦,35,0,5
🚶,0,0,1
🥊,1,0,0
😂,13,11,45
✨,0,0,9
🌸,0,0,1
😓,2,0,0
🙂,2,0,12
⬇,0,0,2
️,41,4,83
🥺,2,4,20
👇,1,0,18
😄,2,21,0
🇪,0,0,3
😡,27,0,1
☹,1,0,0
🌐,0,0,4
☝,0,0,1
🤔,14,11,0
🫡,1,0,1
😍,1,10,6
👩,0,0,2
👨,1,0,2
🏼,1,3,20
🧑,0,0,2
🏽,2,0,4
🎓,0,0,1
🔥,2,0,28
🤑,0,0,3
💪,1,0,7
🤠,0,1,2
🤣,26,25,26
🙉,1,0,0
😏,1,2,1
📣,0,2,5
🤛,0,1,0
👏,0,0,28
🙃,6,0,2
📸,0,0,1
🦋,0,0,1
💀,4,0,4
🥴,7,1,11
😌,0,0,2
❤,1,0,31
🤩,1,1,12
🤨,3,0,2
😩,3,0,3
♂,7,0,2
📢,0,0,2
🎤,0,0,1
🌟,0,0,5
💯,1,0,7
🤲,0,0,1
🙏,4,0,14
😭,29,13,8
👀,1,0,14
🖱,0,1,2
😎,0,0,14
🏾,4,0,5
🎉,0,0,7
👽,1,0,4
😉,1,1,9
⭐,10,0,0
🙄,12,0,2
🤪,3,0,3
🥰,1,3,8
🍻,0,0,2
🛐,0,0,1
🦁,0,0,3
🤬,21,0,16
🤯,3,0,3
🦾,0,0,4
😇,0,0,3
💙,0,0,12
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,3,0,1
🚀,0,0,19
🙈,1,0,0
📈,0,0,3
🥲,2,0,3
🥵,1,0,2
😈,0,0,1
🔷,0,0,1
💡,0,0,3
😜,2,3,1
🥳,0,3,9
🦊,1,0,1
🖤,0,0,2
💅,2,0,1
😠,3,0,0
🧀,0,1,0
🐝,0,0,1
💎,0,0,1
🥹,1,0,1
➡,0,0,13
🎙,0,0,1
♀,5,0,2
