emoji,pos_count,neg_count,neutral_count
🇲,0,0,2
🇾,0,0,2
😧,0,143,6
😔,0,16,15
😊,0,121,10
😆,0,12,4
😅,0,1,18
🖥,0,1,11
🙌,0,0,15
😁,0,0,11
💻,0,2,23
💕,0,0,2
🤷,0,0,19
🏻,0,1,22
💰,0,0,4
🇨,0,0,3
🇳,0,0,4
🇺,0,4,23
🇸,0,0,8
🇦,0,4,13
🤗,0,0,5
🤸,0,0,2
👋,0,0,6
🤝,0,0,10
🍎,0,0,5
🥇,0,0,2
🥈,0,0,2
🥉,0,0,2
👉,0,0,17
✅,0,0,12
😮,0,0,6
💌,0,0,1
🍀,0,0,3
👍,0,0,18
🤟,0,0,3
🤳,0,0,1
𝗶,0,0,4
𝟳,0,0,1
𝟭,0,0,3
𝟮,0,0,2
𝘁,0,0,2
𝗵,0,0,4
𝗚,0,0,3
𝗲,0,0,2
𝗻,0,0,3
𝟱,0,0,1
𝘀,0,0,4
𝗼,0,0,3
𝘄,0,0,1
𝗳,0,0,2
𝘇,0,0,1
𝗥,0,0,1
𝗕,0,0,1
𝗰,0,0,1
𝗮,0,0,1
𝗹,0,0,1
𝗴,0,0,2
🤭,0,0,2
🤦,0,0,40
🚶,0,0,1
🥊,0,0,1
😂,0,1,68
✨,0,0,9
🌸,0,0,1
😓,0,1,1
🙂,0,0,14
⬇,0,0,2
️,0,10,118
🥺,0,0,26
👇,0,0,19
😄,0,19,4
🇪,0,0,3
😡,0,0,28
☹,0,0,1
🌐,0,0,4
☝,0,0,1
🤔,0,2,23
🫡,0,0,2
😍,0,7,10
👩,0,0,2
👨,0,0,3
🏼,0,0,24
🧑,0,0,2
🏽,0,1,5
🎓,0,0,1
🔥,0,1,29
🤑,0,0,3
💪,0,1,7
🤠,0,0,3
🤣,0,4,73
🙉,0,0,1
😏,0,0,4
📣,0,0,7
🤛,0,0,1
👏,0,0,28
🙃,0,0,8
📸,0,0,1
🦋,0,0,1
💀,0,1,7
🥴,0,2,17
😌,0,0,2
❤,0,1,31
🤩,0,0,14
🤨,0,0,5
😩,0,0,6
♂,0,0,9
📢,0,0,2
🎤,0,0,1
🌟,0,3,2
💯,0,1,7
🤲,0,0,1
🙏,0,0,18
😭,0,6,44
👀,0,1,14
🖱,0,1,2
😎,0,0,14
🏾,0,0,9
🎉,0,0,7
👽,0,1,4
😉,0,0,11
⭐,0,0,10
🙄,0,0,14
🤪,0,0,6
🥰,0,3,9
🍻,0,0,2
🛐,0,0,1
🦁,0,0,3
🤬,0,0,37
🤯,0,0,6
🦾,0,1,3
😇,0,0,3
💙,0,0,12
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,0,0,4
🚀,0,0,19
🙈,0,0,1
📈,0,0,3
🥲,0,0,5
🥵,0,0,3
😈,0,0,1
🔷,0,0,1
💡,0,0,3
😜,0,0,6
🥳,0,2,10
🦊,0,0,2
🖤,0,0,2
💅,0,0,3
😠,0,0,3
🧀,0,0,1
🐝,0,0,1
💎,0,0,1
🥹,0,0,2
➡,0,0,13
🎙,0,0,1
♀,0,0,7
