emoji,pos_count,neg_count,neutral_count
🇲,0,0,2
🇾,0,0,2
😧,0,149,0
😔,18,9,4
😊,0,129,2
😆,1,15,0
😅,1,0,18
🖥,1,1,10
🙌,3,2,10
😁,0,0,11
💻,0,1,24
💕,0,0,2
🤷,16,0,3
🏻,5,0,18
💰,1,0,3
🇨,0,0,3
🇳,1,0,3
🇺,4,4,19
🇸,2,0,6
🇦,1,4,12
🤗,0,5,0
🤸,0,0,2
👋,0,0,6
🤝,0,0,10
🍎,0,0,5
🥇,0,0,2
🥈,0,0,2
🥉,0,0,2
👉,0,0,17
✅,2,0,10
😮,1,0,5
💌,1,0,0
🍀,0,0,3
👍,2,0,16
🤟,2,0,1
🤳,1,0,0
𝗶,0,0,4
𝟳,0,0,1
𝟭,0,0,3
𝟮,0,0,2
𝘁,0,0,2
𝗵,0,0,4
𝗚,0,0,3
𝗲,0,0,2
𝗻,0,0,3
𝟱,0,0,1
𝘀,0,0,4
𝗼,0,0,3
𝘄,0,0,1
𝗳,0,0,2
𝘇,0,0,1
𝗥,0,0,1
𝗕,0,0,1
𝗰,0,0,1
𝗮,0,0,1
𝗹,0,0,1
𝗴,0,0,2
🤭,1,0,1
🤦,36,1,3
🚶,0,0,1
🥊,1,0,0
😂,15,28,26
✨,0,0,9
🌸,0,0,1
😓,2,0,0
🙂,1,0,13
⬇,0,0,2
️,17,1,110
🥺,1,2,23
👇,0,0,19
😄,0,21,2
🇪,1,0,2
😡,24,0,4
☹,1,0,0
🌐,1,0,3
☝,0,0,1
🤔,2,20,3
🫡,0,0,2
😍,0,8,9
👩,0,0,2
👨,0,0,3
🏼,3,0,21
🧑,0,0,2
🏽,1,0,5
🎓,0,0,1
🔥,1,0,29
🤑,2,0,1
💪,4,0,4
🤠,2,0,1
🤣,21,4,52
🙉,1,0,0
😏,2,0,2
📣,0,0,7
🤛,0,0,1
👏,0,0,28
🙃,6,0,2
📸,0,0,1
🦋,0,0,1
💀,6,0,2
🥴,7,0,12
😌,2,0,0
❤,0,0,32
🤩,0,0,14
🤨,0,0,5
😩,3,0,3
♂,8,0,1
📢,0,0,2
🎤,0,0,1
🌟,0,0,5
💯,0,0,8
🤲,0,0,1
🙏,2,0,16
😭,22,14,14
👀,1,0,14
🖱,0,0,3
😎,2,0,12
🏾,1,0,8
🎉,0,0,7
👽,1,0,4
😉,1,0,10
⭐,0,0,10
🙄,5,0,9
🤪,2,0,4
🥰,1,3,8
🍻,0,0,2
🛐,1,0,0
🦁,0,0,3
🤬,17,0,20
🤯,1,0,5
🦾,1,1,2
😇,2,0,1
💙,0,0,12
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,0,0,4
🚀,0,2,17
🙈,1,0,0
📈,0,0,3
🥲,5,0,0
🥵,0,0,3
😈,0,1,0
🔷,0,0,1
💡,0,0,3
😜,0,0,6
🥳,0,2,10
🦊,0,0,2
🖤,0,0,2
💅,0,0,3
😠,3,0,0
🧀,0,1,0
🐝,0,0,1
💎,0,0,1
🥹,1,0,1
➡,0,0,13
🎙,1,0,0
♀,3,0,4
