emoji,pos_count,neg_count,neutral_count
🇲,0,2,0
🇾,0,2,0
😧,0,146,3
😔,0,24,7
😊,0,124,7
😆,0,13,3
😅,0,6,13
🖥,0,4,8
🙌,0,5,10
😁,0,4,7
💻,0,12,13
💕,0,0,2
🤷,0,9,10
🏻,0,6,17
💰,0,4,0
🇨,0,3,0
🇳,0,3,1
🇺,0,16,11
🇸,0,6,2
🇦,0,8,9
🤗,0,3,2
🤸,0,2,0
👋,0,3,3
🤝,0,5,5
🍎,0,5,0
🥇,0,1,1
🥈,0,1,1
🥉,0,1,1
👉,0,2,15
✅,0,7,5
😮,0,1,5
💌,0,1,0
🍀,0,1,2
👍,0,6,12
🤟,0,2,1
🤳,0,1,0
𝗶,0,0,4
𝟳,0,0,1
𝟭,0,0,3
𝟮,0,0,2
𝘁,0,0,2
𝗵,0,0,4
𝗚,0,0,3
𝗲,0,0,2
𝗻,0,0,3
𝟱,0,0,1
𝘀,0,0,4
𝗼,0,0,3
𝘄,0,0,1
𝗳,0,0,2
𝘇,0,0,1
𝗥,0,0,1
𝗕,0,0,1
𝗰,0,0,1
𝗮,0,0,1
𝗹,0,0,1
𝗴,0,0,2
🤭,0,0,2
🤦,0,34,6
🚶,0,0,1
🥊,0,1,0
😂,0,10,59
✨,0,2,7
🌸,0,0,1
😓,0,2,0
🙂,0,5,9
⬇,0,0,2
️,0,58,70
🥺,0,22,4
👇,0,9,10
😄,0,20,3
🇪,0,3,0
😡,0,9,19
☹,0,0,1
🌐,0,2,2
☝,0,1,0
🤔,0,17,8
🫡,0,0,2
😍,0,11,6
👩,0,1,1
👨,0,1,2
🏼,0,4,20
🧑,0,0,2
🏽,0,3,3
🎓,0,0,1
🔥,0,18,12
🤑,0,3,0
💪,0,4,4
🤠,0,2,1
🤣,0,47,30
🙉,0,1,0
😏,0,1,3
📣,0,0,7
🤛,0,1,0
👏,0,1,27
🙃,0,4,4
📸,0,0,1
🦋,0,1,0
💀,0,1,7
🥴,0,17,2
😌,0,0,2
❤,0,19,13
🤩,0,8,6
🤨,0,3,2
😩,0,1,5
♂,0,5,4
📢,0,2,0
🎤,0,0,1
🌟,0,4,1
💯,0,2,6
🤲,0,0,1
🙏,0,8,10
😭,0,36,14
👀,0,1,14
🖱,0,0,3
😎,0,7,7
🏾,0,4,5
🎉,0,1,6
👽,0,2,3
😉,0,3,8
⭐,0,0,10
🙄,0,7,7
🤪,0,5,1
🥰,0,12,0
🍻,0,1,1
🛐,0,0,1
🦁,0,3,0
🤬,0,26,11
🤯,0,6,0
🦾,0,3,1
😇,0,0,3
💙,0,4,8
🥑,0,0,1
👊,0,0,1
☁,0,5,0
🔐,0,5,1
☺,0,1,3
🚀,0,6,13
🙈,0,0,1
📈,0,2,1
🥲,0,1,4
🥵,0,3,0
😈,0,0,1
🔷,0,0,1
💡,0,1,2
😜,0,2,4
🥳,0,7,5
🦊,0,2,0
🖤,0,1,1
💅,0,2,1
😠,0,1,2
🧀,0,1,0
🐝,0,0,1
💎,0,1,0
🥹,0,0,2
➡,0,7,6
🎙,0,0,1
♀,0,2,5
🚨,0,3,9
☠,0,3,0
☕,0,1,1
💜,0,1,4
𝐃,0,0,1
𝐞,0,3,6
𝐥,0,5,2
𝐓,0,1,1
𝐡,0,0,1
𝐁,0,0,1
𝐬,0,3,1
𝐭,0,3,2
𝐏,0,0,1
𝐫,0,1,3
𝐟,0,0,2
𝐨,0,3,7
𝐦,0,0,1
𝐢,0,2,1
𝐧,0,2,2
𝐠,0,0,1
𝐍,0,0,1
𝐛,0,1,1
𝐤,0,0,1
𝟐,0,0,2
𝟎,0,0,1
𝟏,0,0,1
🦉,0,0,1
🤓,0,3,2
🔗,0,2,3
⚠,0,1,1
😬,0,1,2
😫,0,1,0
📩,0,1,1
🔬,0,0,1
💚,0,0,2
🧡,0,1,1
💛,0,0,3
⛈,0,1,0
⚔,0,1,0
😘,0,2,1
🤤,0,3,1
🎧,0,1,0
🚗,0,1,0
🤌,0,1,1
🤮,0,4,2
👬,0,0,1
🎮,0,0,1
😲,0,1,0
♥,0,0,4
💔,0,0,1
😛,0,0,3
😑,0,2,1
🧠,0,2,0
📴,0,1,0
🏆,0,1,7
🐠,0,0,1
🌍,0,0,2
❌,0,1,0
😢,0,1,1
😱,0,0,1
💃,0,1,0
🎊,0,0,2
⤵,0,2,0
💸,0,4,0
🤙,0,3,0
🪶,0,0,1
👑,0,1,2
🇮,0,2,1
🤢,0,5,0
🤞,0,2,3
👻,0,2,1
😶,0,0,1
👁,0,0,2
👄,0,0,1
📌,0,1,0
🌖,0,0,1
🧵,0,1,3
🔌,0,1,1
😒,0,1,7
💭,0,1,0
▫,0,6,0
🪑,0,1,0
😻,0,1,0
📷,0,1,0
🌳,0,0,1
😐,0,2,0
👈,0,0,1
🤘,0,0,1
🐧,0,0,1
💖,0,1,0
💾,0,0,1
🌉,0,1,0
🇰,0,2,0
🇷,0,2,0
🗨,0,0,2
💬,0,0,2
♻,0,0,1
🧙,0,2,0
🤧,0,1,0
🙋,0,1,0
🧢,0,0,1
🔹,0,0,3
🤐,0,2,0
🪬,0,1,0
🌀,0,1,0
📺,0,1,0
😳,0,0,2
😦,0,1,0
🍖,0,0,1
🐶,0,0,1
👎,0,0,1
🥁,0,0,1
😟,0,0,1
😕,0,0,1
🫤,0,0,1
✌,0,1,1
🤡,0,3,4
💤,0,1,0
👧,0,0,4
✋,0,0,1
💫,0,1,1
☀,0,4,2
🦅,0,0,1
😰,0,0,1
😖,0,0,1
▶,0,0,2
🚫,0,1,0
𝐀,0,1,0
𝐯,0,1,0
𝐚,0,4,0
