emoji,pos_count,neg_count,neutral_count
🇲,0,0,2
🇾,0,0,2
😧,0,149,0
😔,5,22,4
😊,0,131,0
😆,0,16,0
😅,8,7,4
🖥,1,2,9
🙌,3,3,9
😁,0,2,9
💻,0,7,18
💕,0,0,2
🤷,14,3,2
🏻,1,3,19
💰,1,0,3
🇨,0,1,2
🇳,1,1,2
🇺,2,11,14
🇸,1,4,3
🇦,1,6,10
🤗,0,5,0
🤸,0,1,1
👋,0,3,3
🤝,0,3,7
🍎,1,4,0
🥇,0,0,2
🥈,0,0,2
🥉,0,0,2
👉,0,0,17
✅,1,1,10
😮,0,0,6
💌,0,1,0
🍀,0,0,3
👍,1,0,17
🤟,0,0,3
🤳,0,0,1
𝗶,0,0,4
𝟳,0,0,1
𝟭,0,0,3
𝟮,0,0,2
𝘁,0,0,2
𝗵,0,0,4
𝗚,0,0,3
𝗲,0,0,2
𝗻,0,0,3
𝟱,0,0,1
𝘀,0,0,4
𝗼,0,0,3
𝘄,0,0,1
𝗳,0,0,2
𝘇,0,0,1
𝗥,0,0,1
𝗕,0,0,1
𝗰,0,0,1
𝗮,0,0,1
𝗹,0,0,1
𝗴,0,0,2
🤭,1,0,1
🤦,35,5,0
🚶,0,0,1
🥊,0,1,0
😂,12,27,30
✨,0,0,9
🌸,0,0,1
😓,0,0,2
🙂,0,1,13
⬇,0,0,2
️,15,24,89
🥺,5,13,8
👇,0,6,13
😄,0,21,2
🇪,0,2,1
😡,23,2,3
☹,1,0,0
🌐,0,1,3
☝,0,0,1
🤔,1,23,1
🫡,1,1,0
😍,0,13,4
👩,0,0,2
👨,0,1,2
🏼,0,9,15
🧑,0,0,2
🏽,0,2,4
🎓,0,0,1
🔥,2,3,25
🤑,1,0,2
💪,0,1,7
🤠,0,3,0
🤣,19,46,12
🙉,0,1,0
😏,0,2,2
📣,0,1,6
🤛,0,1,0
👏,0,6,22
🙃,5,1,2
📸,0,1,0
🦋,0,0,1
💀,4,2,2
🥴,2,3,14
😌,0,0,2
❤,0,6,26
🤩,0,1,13
🤨,0,4,1
😩,1,2,3
♂,4,4,1
📢,0,0,2
🎤,0,0,1
🌟,0,3,2
💯,0,1,7
🤲,0,0,1
🙏,1,5,12
😭,0,19,31
👀,0,5,10
🖱,0,0,3
😎,0,3,11
🏾,3,1,5
🎉,0,0,7
👽,0,2,3
😉,0,3,8
⭐,0,0,10
🙄,6,0,8
🤪,0,1,5
🥰,1,7,4
🍻,0,1,1
🛐,0,1,0
🦁,0,0,3
🤬,15,2,20
🤯,0,1,5
🦾,0,2,2
😇,0,0,3
💙,0,4,8
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,0,1,3
🚀,0,0,19
🙈,1,0,0
📈,2,1,0
🥲,2,1,2
🥵,0,3,0
😈,0,0,1
🔷,0,0,1
💡,0,0,3
😜,0,3,3
🥳,0,7,5
🦊,0,1,1
🖤,0,2,0
💅,1,0,2
😠,3,0,0
🧀,0,1,0
🐝,0,1,0
💎,0,1,0
🥹,0,0,2
➡,0,0,13
🎙,0,0,1
♀,7,0,0
