emoji,pos_count,neg_count,neutral_count
🇲,0,2,0
🇾,0,2,0
😧,2,146,1
😔,9,22,0
😊,2,115,14
😆,0,14,2
😅,4,4,11
🖥,1,1,10
🙌,0,0,15
😁,4,3,4
💻,0,9,16
💕,0,0,2
🤷,8,6,5
🏻,4,7,12
💰,3,0,1
🇨,2,0,1
🇳,3,0,1
🇺,8,5,14
🇸,2,3,3
🇦,6,0,11
🤗,0,5,0
🤸,0,2,0
👋,0,1,5
🤝,2,6,2
🍎,1,4,0
🥇,0,2,0
🥈,0,2,0
🥉,0,2,0
👉,0,2,15
✅,0,4,8
😮,1,1,4
💌,0,0,1
🍀,0,0,3
👍,4,5,9
🤟,1,0,2
🤳,1,0,0
𝗶,0,0,4
𝟳,0,0,1
𝟭,0,0,3
𝟮,0,0,2
𝘁,0,0,2
𝗵,0,0,4
𝗚,0,0,3
𝗲,0,0,2
𝗻,0,0,3
𝟱,0,0,1
𝘀,0,0,4
𝗼,0,0,3
𝘄,0,0,1
𝗳,0,0,2
𝘇,0,0,1
𝗥,0,0,1
𝗕,0,0,1
𝗰,0,0,1
𝗮,0,0,1
𝗹,0,0,1
𝗴,0,0,2
🤭,0,0,2
🤦,16,23,1
🚶,1,0,0
🥊,0,1,0
😂,7,35,27
✨,0,1,8
🌸,0,0,1
😓,1,1,0
🙂,3,1,10
⬇,1,0,1
️,25,39,64
🥺,5,14,7
👇,6,2,11
😄,3,19,1
🇪,0,1,2
😡,20,2,6
☹,1,0,0
🌐,0,1,3
☝,0,1,0
🤔,8,10,7
🫡,0,0,2
😍,1,10,6
👩,0,1,1
👨,0,1,2
🏼,0,4,20
🧑,0,0,2
🏽,3,0,3
🎓,0,0,1
🔥,4,15,11
🤑,2,0,1
💪,1,0,7
🤠,0,2,1
🤣,7,45,25
🙉,1,0,0
😏,2,1,1
📣,0,1,6
🤛,0,1,0
👏,0,3,25
🙃,4,1,3
📸,0,1,0
🦋,0,1,0
💀,3,4,1
🥴,5,6,8
😌,0,0,2
❤,2,19,11
🤩,2,3,9
🤨,0,4,1
😩,2,1,3
♂,6,3,0
📢,0,0,2
🎤,0,1,0
🌟,0,4,1
💯,0,2,6
🤲,0,0,1
🙏,5,1,12
😭,8,37,5
👀,2,3,10
🖱,0,1,2
😎,1,1,12
🏾,3,1,5
🎉,0,0,7
👽,0,3,2
😉,2,2,7
⭐,0,0,10
🙄,7,0,7
🤪,2,1,3
🥰,3,3,6
🍻,1,0,1
🛐,0,1,0
🦁,0,0,3
🤬,28,3,6
🤯,2,3,1
🦾,0,3,1
😇,1,1,1
💙,1,1,10
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,1,0,5
☺,3,0,1
🚀,0,0,19
🙈,0,1,0
📈,0,1,2
🥲,2,2,1
🥵,0,3,0
😈,0,0,1
🔷,0,1,0
💡,1,0,2
😜,3,1,2
🥳,0,3,9
🦊,0,1,1
🖤,1,0,1
💅,0,0,3
😠,2,0,1
🧀,0,1,0
🐝,0,1,0
💎,0,0,1
🥹,1,1,0
➡,1,1,11
🎙,0,0,1
♀,4,2,1
🚨,1,9,2
☠,3,0,0
☕,1,0,1
💜,1,1,3
𝐃,0,0,1
𝐞,0,2,7
𝐥,0,3,4
𝐓,0,1,1
𝐡,0,0,1
𝐁,0,0,1
𝐬,0,2,2
𝐭,0,2,3
𝐏,0,0,1
𝐫,0,0,4
𝐟,0,0,2
𝐨,0,2,8
𝐦,0,0,1
𝐢,0,2,1
𝐧,0,2,2
𝐠,0,0,1
𝐍,0,0,1
𝐛,0,1,1
𝐤,0,0,1
𝟐,0,0,2
𝟎,0,0,1
𝟏,0,0,1
🦉,0,0,1
🤓,2,2,1
🔗,1,0,4
⚠,0,1,1
😬,0,2,1
😫,0,0,1
📩,0,0,2
🔬,0,0,1
💚,1,0,1
🧡,1,0,1
💛,1,0,2
⛈,0,1,0
⚔,0,1,0
😘,0,2,1
🤤,0,0,4
🎧,0,0,1
🚗,0,0,1
🤌,0,1,1
🤮,4,1,1
👬,0,0,1
🎮,0,0,1
😲,1,0,0
♥,1,0,3
💔,0,0,1
😛,1,0,2
😑,2,0,1
🧠,0,1,1
📴,0,0,1
🏆,0,2,6
🐠,0,0,1
🌍,0,0,2
❌,0,1,0
😢,1,0,1
😱,0,1,0
💃,0,0,1
🎊,0,0,2
⤵,0,0,2
💸,0,3,1
🤙,0,2,1
🪶,0,0,1
👑,0,1,2
🇮,1,0,2
🤢,4,1,0
🤞,0,2,3
👻,0,2,1
😶,1,0,0
👁,0,0,2
👄,0,0,1
📌,0,0,1
🌖,0,0,1
🧵,1,3,0
🔌,1,1,0
😒,3,1,4
💭,0,0,1
▫,0,0,6
🪑,0,0,1
😻,0,0,1
📷,0,0,1
🌳,0,0,1
😐,2,0,0
👈,0,0,1
🤘,0,1,0
🐧,0,1,0
💖,0,0,1
💾,0,1,0
🌉,0,1,0
🇰,0,1,1
🇷,0,2,0
🗨,0,2,0
💬,0,2,0
♻,0,0,1
🧙,1,1,0
🤧,1,0,0
🙋,0,0,1
🧢,0,0,1
🔹,0,0,3
🤐,0,0,2
🪬,0,1,0
🌀,0,1,0
📺,0,1,0
😳,0,2,0
😦,1,0,0
🍖,0,0,1
🐶,0,0,1
👎,1,0,0
🥁,0,0,1
😟,0,1,0
😕,0,1,0
🫤,0,1,0
✌,0,0,2
🤡,4,3,0
💤,0,1,0
👧,0,1,3
✋,0,0,1
💫,0,0,2
☀,0,2,4
🦅,0,1,0
😰,1,0,0
😖,0,0,1
▶,1,1,0
🚫,0,1,0
𝐀,0,1,0
𝐯,0,1,0
𝐚,0,4,0
