emoji,pos_count,neg_count,neutral_count
🇲,0,2,0
🇾,0,2,0
😧,0,149,0
😔,8,23,0
😊,1,124,6
😆,0,14,2
😅,2,7,10
🖥,1,4,7
🙌,0,3,12
😁,3,3,5
💻,0,5,20
💕,0,1,1
🤷,5,7,7
🏻,5,6,12
💰,3,0,1
🇨,2,0,1
🇳,3,0,1
🇺,3,7,17
🇸,1,2,5
🇦,1,4,12
🤗,1,2,2
🤸,0,0,2
👋,0,2,4
🤝,0,8,2
🍎,1,4,0
🥇,0,1,1
🥈,0,1,1
🥉,0,1,1
👉,0,2,15
✅,4,4,4
😮,1,0,5
💌,0,0,1
🍀,1,0,2
👍,3,2,13
🤟,1,0,2
🤳,1,0,0
𝗶,0,4,0
𝟳,0,1,0
𝟭,0,3,0
𝟮,0,2,0
𝘁,0,2,0
𝗵,0,4,0
𝗚,0,3,0
𝗲,0,2,0
𝗻,0,3,0
𝟱,0,1,0
𝘀,0,4,0
𝗼,0,3,0
𝘄,0,1,0
𝗳,0,2,0
𝘇,0,1,0
𝗥,0,1,0
𝗕,0,1,0
𝗰,0,1,0
𝗮,0,1,0
𝗹,0,1,0
𝗴,0,2,0
🤭,0,0,2
🤦,15,11,14
🚶,1,0,0
🥊,0,0,1
😂,13,28,28
✨,0,1,8
🌸,0,1,0
😓,1,0,1
🙂,2,2,10
⬇,1,0,1
️,19,33,76
🥺,6,7,13
👇,1,1,17
😄,2,20,1
🇪,0,1,2
😡,17,0,11
☹,1,0,0
🌐,0,0,4
☝,0,0,1
🤔,7,12,6
🫡,1,0,1
😍,1,11,5
👩,0,0,2
👨,0,0,3
🏼,1,6,17
🧑,0,0,2
🏽,1,2,3
🎓,0,0,1
🔥,4,0,26
🤑,1,0,2
💪,1,3,4
🤠,0,2,1
🤣,9,43,25
🙉,1,0,0
😏,1,2,1
📣,0,1,6
🤛,0,1,0
👏,1,2,25
🙃,3,0,5
📸,0,1,0
🦋,0,1,0
💀,3,3,2
🥴,4,12,3
😌,0,0,2
❤,1,5,26
🤩,0,2,12
🤨,0,1,4
😩,2,1,3
♂,5,4,0
📢,0,0,2
🎤,0,0,1
🌟,0,3,2
💯,0,1,7
🤲,0,1,0
🙏,5,3,10
😭,12,13,25
👀,1,3,11
🖱,0,1,2
😎,2,3,9
🏾,3,3,3
🎉,0,2,5
👽,0,1,4
😉,1,3,7
⭐,0,0,10
🙄,2,2,10
🤪,2,2,2
🥰,3,3,6
🍻,1,0,1
🛐,0,1,0
🦁,0,0,3
🤬,30,2,5
🤯,2,3,1
🦾,0,2,2
😇,1,2,0
💙,1,1,10
🥑,0,1,0
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,0,3,1
🚀,1,0,18
🙈,0,0,1
📈,0,1,2
🥲,1,1,3
🥵,1,1,1
😈,0,0,1
🔷,0,0,1
💡,0,0,3
😜,3,1,2
🥳,2,2,8
🦊,0,0,2
🖤,0,1,1
💅,0,0,3
😠,2,0,1
🧀,0,1,0
🐝,0,0,1
💎,0,0,1
🥹,1,1,0
➡,0,1,12
🎙,0,0,1
♀,4,1,2
🚨,1,8,3
☠,0,3,0
☕,1,1,0
💜,1,0,4
𝐃,0,0,1
𝐞,0,0,9
𝐥,0,0,7
𝐓,0,0,2
𝐡,0,0,1
𝐁,0,0,1
𝐬,0,0,4
𝐭,0,0,5
𝐏,0,0,1
𝐫,0,0,4
𝐟,0,0,2
𝐨,0,0,10
𝐦,0,0,1
𝐢,0,0,3
𝐧,0,0,4
𝐠,0,0,1
𝐍,0,0,1
𝐛,0,0,2
𝐤,0,0,1
𝟐,0,0,2
𝟎,0,0,1
𝟏,0,0,1
🦉,0,0,1
🤓,1,3,1
🔗,0,1,4
⚠,1,1,0
😬,0,2,1
😫,0,0,1
📩,0,0,2
🔬,1,0,0
💚,1,0,1
🧡,1,0,1
💛,1,0,2
⛈,0,1,0
⚔,0,1,0
😘,0,2,1
🤤,0,0,4
🎧,0,0,1
🚗,0,0,1
🤌,0,2,0
🤮,5,0,1
👬,0,0,1
🎮,0,1,0
😲,0,1,0
♥,0,0,4
💔,0,0,1
😛,1,0,2
😑,2,1,0
🧠,0,1,1
📴,0,0,1
🏆,0,2,6
🐠,0,0,1
🌍,0,0,2
❌,0,1,0
😢,1,0,1
😱,1,0,0
💃,0,0,1
🎊,0,2,0
⤵,0,0,2
💸,0,3,1
🤙,0,2,1
🪶,0,0,1
👑,0,1,2
🇮,1,0,2
🤢,4,1,0
🤞,1,2,2
👻,0,2,1
😶,0,1,0
👁,0,0,2
👄,0,0,1
📌,0,0,1
🌖,0,0,1
🧵,2,0,2
🔌,0,1,1
😒,2,2,4
💭,0,0,1
▫,0,0,6
🪑,0,0,1
😻,0,0,1
📷,0,0,1
🌳,0,0,1
😐,0,0,2
👈,0,0,1
🤘,0,1,0
🐧,0,1,0
💖,0,0,1
💾,1,0,0
🌉,1,0,0
🇰,1,0,1
🇷,2,0,0
🗨,0,2,0
💬,0,2,0
♻,1,0,0
🧙,2,0,0
🤧,1,0,0
🙋,0,0,1
🧢,0,0,1
🔹,0,0,3
🤐,0,0,2
🪬,0,1,0
🌀,0,1,0
📺,0,1,0
😳,0,2,0
😦,0,0,1
🍖,0,0,1
🐶,0,0,1
👎,0,1,0
🥁,0,0,1
😟,0,0,1
😕,0,0,1
🫤,0,0,1
✌,1,0,1
🤡,6,1,0
💤,0,1,0
👧,0,1,3
✋,0,1,0
💫,0,0,2
☀,0,3,3
🦅,0,1,0
😰,1,0,0
😖,0,0,1
▶,1,1,0
🚫,1,0,0
𝐀,0,0,1
𝐯,0,0,1
𝐚,0,0,4
