emoji,pos_count,neg_count,neutral_count
🇲,0,2,0
🇾,0,2,0
😧,0,149,0
😔,7,21,3
😊,0,127,4
😆,0,16,0
😅,1,7,11
🖥,2,2,8
🙌,0,3,12
😁,4,2,5
💻,2,8,15
💕,0,0,2
🤷,10,6,3
🏻,4,6,13
💰,3,0,1
🇨,2,0,1
🇳,3,0,1
🇺,9,6,12
🇸,2,3,3
🇦,7,0,10
🤗,0,5,0
🤸,0,0,2
👋,0,1,5
🤝,2,7,1
🍎,0,4,1
🥇,0,1,1
🥈,0,1,1
🥉,0,1,1
👉,0,4,13
✅,0,3,9
😮,1,0,5
💌,0,1,0
🍀,1,0,2
👍,1,5,12
🤟,1,0,2
🤳,1,0,0
𝗶,0,4,0
𝟳,0,1,0
𝟭,0,3,0
𝟮,0,2,0
𝘁,0,2,0
𝗵,0,4,0
𝗚,0,3,0
𝗲,0,2,0
𝗻,0,3,0
𝟱,0,1,0
𝘀,0,4,0
𝗼,0,3,0
𝘄,0,1,0
𝗳,0,2,0
𝘇,0,1,0
𝗥,0,1,0
𝗕,0,1,0
𝗰,0,1,0
𝗮,0,1,0
𝗹,0,1,0
𝗴,0,2,0
🤭,0,0,2
🤦,14,21,5
🚶,1,0,0
🥊,0,0,1
😂,5,35,29
✨,0,1,8
🌸,0,0,1
😓,1,1,0
🙂,3,1,10
⬇,1,0,1
️,19,40,69
🥺,4,8,14
👇,6,3,10
😄,0,22,1
🇪,0,2,1
😡,18,2,8
☹,1,0,0
🌐,0,2,2
☝,0,1,0
🤔,4,17,4
🫡,1,1,0
😍,0,12,5
👩,0,1,1
👨,0,1,2
🏼,0,7,17
🧑,0,0,2
🏽,2,0,4
🎓,0,0,1
🔥,4,15,11
🤑,2,0,1
💪,0,3,5
🤠,0,3,0
🤣,8,47,22
🙉,1,0,0
😏,1,2,1
📣,0,2,5
🤛,0,1,0
👏,0,1,27
🙃,3,1,4
📸,0,1,0
🦋,0,1,0
💀,1,3,4
🥴,4,14,1
😌,0,0,2
❤,1,18,13
🤩,0,3,11
🤨,0,4,1
😩,1,1,4
♂,5,2,2
📢,0,1,1
🎤,0,1,0
🌟,0,4,1
💯,0,1,7
🤲,0,1,0
🙏,5,2,11
😭,7,40,3
👀,1,5,9
🖱,1,0,2
😎,1,2,11
🏾,3,1,5
🎉,0,0,7
👽,0,1,4
😉,0,3,8
⭐,0,0,10
🙄,5,2,7
🤪,2,2,2
🥰,2,3,7
🍻,1,0,1
🛐,0,1,0
🦁,0,0,3
🤬,12,4,21
🤯,3,2,1
🦾,0,2,2
😇,0,1,2
💙,0,0,12
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,3,0,1
🚀,0,0,19
🙈,0,1,0
📈,0,2,1
🥲,2,1,2
🥵,0,2,1
😈,0,0,1
🔷,0,1,0
💡,0,0,3
😜,2,1,3
🥳,0,3,9
🦊,0,0,2
🖤,0,0,2
💅,0,0,3
😠,1,0,2
🧀,0,1,0
🐝,1,0,0
💎,0,0,1
🥹,1,1,0
➡,0,3,10
🎙,0,0,1
♀,4,1,2
🚨,1,9,2
☠,3,0,0
☕,1,1,0
💜,0,0,5
𝐃,0,0,1
𝐞,0,0,9
𝐥,0,0,7
𝐓,0,0,2
𝐡,0,0,1
𝐁,0,0,1
𝐬,0,0,4
𝐭,0,0,5
𝐏,0,0,1
𝐫,0,0,4
𝐟,0,0,2
𝐨,0,0,10
𝐦,0,0,1
𝐢,0,0,3
𝐧,0,0,4
𝐠,0,0,1
𝐍,0,0,1
𝐛,0,0,2
𝐤,0,0,1
𝟐,0,0,2
𝟎,0,0,1
𝟏,0,0,1
🦉,0,0,1
🤓,2,2,1
🔗,0,2,3
⚠,0,2,0
😬,0,2,1
😫,0,0,1
📩,0,1,1
🔬,0,0,1
💚,0,0,2
🧡,0,0,2
💛,0,0,3
⛈,0,1,0
⚔,0,1,0
😘,0,2,1
🤤,0,0,4
🎧,0,0,1
🚗,0,0,1
🤌,0,2,0
🤮,4,0,2
👬,0,0,1
🎮,0,1,0
😲,1,0,0
♥,0,0,4
💔,0,0,1
😛,1,0,2
😑,3,0,0
🧠,0,1,1
📴,0,0,1
🏆,0,2,6
🐠,0,0,1
🌍,0,0,2
❌,0,1,0
😢,0,0,2
😱,0,1,0
💃,0,0,1
🎊,0,0,2
⤵,0,0,2
💸,0,3,1
🤙,0,2,1
🪶,0,0,1
👑,0,2,1
🇮,1,0,2
🤢,4,1,0
🤞,0,2,3
👻,0,2,1
😶,0,1,0
👁,0,0,2
👄,0,0,1
📌,0,0,1
🌖,0,0,1
🧵,1,2,1
🔌,0,1,1
😒,3,1,4
💭,0,0,1
▫,0,0,6
🪑,0,0,1
😻,0,0,1
📷,0,0,1
🌳,0,0,1
😐,0,0,2
👈,0,0,1
🤘,0,1,0
🐧,0,1,0
💖,0,0,1
💾,0,1,0
🌉,0,1,0
🇰,0,1,1
🇷,0,2,0
🗨,0,2,0
💬,0,2,0
♻,0,0,1
🧙,1,1,0
🤧,1,0,0
🙋,0,0,1
🧢,0,0,1
🔹,0,0,3
🤐,0,2,0
🪬,0,1,0
🌀,0,1,0
📺,0,1,0
😳,0,2,0
😦,0,0,1
🍖,1,0,0
🐶,0,0,1
👎,1,0,0
🥁,0,0,1
😟,0,1,0
😕,0,1,0
🫤,0,1,0
✌,1,0,1
🤡,4,3,0
💤,0,1,0
👧,0,0,4
✋,0,1,0
💫,0,0,2
☀,0,4,2
🦅,0,1,0
😰,1,0,0
😖,0,0,1
▶,1,1,0
🚫,0,1,0
𝐀,0,0,1
𝐯,0,0,1
𝐚,0,0,4
