emoji,pos_count,neg_count,neutral_count
🇲,0,2,0
🇾,0,2,0
😧,2,144,3
😔,9,20,2
😊,2,115,14
😆,0,15,1
😅,3,8,8
🖥,2,3,7
🙌,1,3,11
😁,3,4,4
💻,1,9,15
💕,0,0,2
🤷,10,7,2
🏻,5,9,9
💰,3,0,1
🇨,2,1,0
🇳,3,1,0
🇺,9,8,10
🇸,2,4,2
🇦,7,2,8
🤗,0,5,0
🤸,0,2,0
👋,0,1,5
🤝,2,6,2
🍎,1,4,0
🥇,0,1,1
🥈,0,1,1
🥉,0,1,1
👉,0,3,14
✅,0,3,9
😮,1,0,5
💌,1,0,0
🍀,1,0,2
👍,4,3,11
🤟,1,0,2
🤳,1,0,0
𝗶,4,0,0
𝟳,1,0,0
𝟭,3,0,0
𝟮,2,0,0
𝘁,2,0,0
𝗵,4,0,0
𝗚,3,0,0
𝗲,2,0,0
𝗻,3,0,0
𝟱,1,0,0
𝘀,4,0,0
𝗼,3,0,0
𝘄,1,0,0
𝗳,2,0,0
𝘇,1,0,0
𝗥,1,0,0
𝗕,1,0,0
𝗰,1,0,0
𝗮,1,0,0
𝗹,1,0,0
𝗴,2,0,0
🤭,0,0,2
🤦,15,21,4
🚶,0,1,0
🥊,1,0,0
😂,13,29,27
✨,0,1,8
🌸,0,0,1
😓,1,1,0
🙂,3,4,7
⬇,1,0,1
️,33,49,46
🥺,4,16,6
👇,6,1,12
😄,1,18,4
🇪,0,2,1
😡,21,1,6
☹,1,0,0
🌐,0,1,3
☝,0,1,0
🤔,7,12,6
🫡,1,1,0
😍,1,11,5
👩,0,1,1
👨,0,1,2
🏼,0,7,17
🧑,0,0,2
🏽,3,0,3
🎓,0,0,1
🔥,4,15,11
🤑,2,0,1
💪,1,3,4
🤠,0,3,0
🤣,9,45,23
🙉,1,0,0
😏,2,1,1
📣,0,1,6
🤛,0,1,0
👏,0,4,24
🙃,4,1,3
📸,0,1,0
🦋,0,1,0
💀,3,1,4
🥴,5,13,1
😌,0,1,1
❤,1,19,12
🤩,1,5,8
🤨,0,4,1
😩,1,1,4
♂,5,2,2
📢,0,1,1
🎤,0,1,0
🌟,0,4,1
💯,0,1,7
🤲,0,1,0
🙏,5,5,8
😭,9,36,5
👀,2,4,9
🖱,0,2,1
😎,2,4,8
🏾,5,1,3
🎉,0,0,7
👽,0,2,3
😉,2,4,5
⭐,10,0,0
🙄,7,0,7
🤪,2,2,2
🥰,3,3,6
🍻,1,0,1
🛐,0,1,0
🦁,0,0,3
🤬,14,18,5
🤯,3,2,1
🦾,0,2,2
😇,1,1,1
💙,0,1,11
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,3,0,1
🚀,0,0,19
🙈,0,1,0
📈,0,1,2
🥲,2,2,1
🥵,0,3,0
😈,0,0,1
🔷,0,1,0
💡,1,1,1
😜,3,1,2
🥳,2,3,7
🦊,0,1,1
🖤,0,0,2
💅,0,0,3
😠,2,0,1
🧀,0,1,0
🐝,0,1,0
💎,0,0,1
🥹,1,1,0
➡,1,6,6
🎙,0,0,1
♀,4,2,1
🚨,1,9,2
☠,3,0,0
☕,1,1,0
💜,0,1,4
𝐃,0,0,1
𝐞,2,0,7
𝐥,3,0,4
𝐓,1,0,1
𝐡,0,0,1
𝐁,0,0,1
𝐬,2,0,2
𝐭,2,0,3
𝐏,0,0,1
𝐫,0,0,4
𝐟,0,0,2
𝐨,2,0,8
𝐦,0,0,1
𝐢,2,0,1
𝐧,2,0,2
𝐠,0,0,1
𝐍,0,0,1
𝐛,1,0,1
𝐤,0,0,1
𝟐,0,0,2
𝟎,0,0,1
𝟏,0,0,1
🦉,0,1,0
🤓,2,2,1
🔗,1,2,2
⚠,0,1,1
😬,1,2,0
😫,0,1,0
📩,0,0,2
🔬,0,0,1
💚,0,0,2
🧡,0,0,2
💛,0,0,3
⛈,0,1,0
⚔,0,1,0
😘,0,2,1
🤤,0,0,4
🎧,0,0,1
🚗,0,0,1
🤌,0,2,0
🤮,5,1,0
👬,0,0,1
🎮,0,1,0
😲,1,0,0
♥,0,2,2
💔,0,0,1
😛,1,0,2
😑,3,0,0
🧠,0,1,1
📴,0,0,1
🏆,0,2,6
🐠,0,0,1
🌍,0,0,2
❌,0,1,0
😢,1,0,1
😱,0,1,0
💃,0,1,0
🎊,0,0,2
⤵,0,0,2
💸,0,3,1
🤙,0,2,1
🪶,0,0,1
👑,1,1,1
🇮,1,2,0
🤢,4,1,0
🤞,1,2,2
👻,0,2,1
😶,0,1,0
👁,0,0,2
👄,0,0,1
📌,0,0,1
🌖,0,0,1
🧵,1,3,0
🔌,0,1,1
😒,3,1,4
💭,0,0,1
▫,0,0,6
🪑,0,0,1
😻,0,0,1
📷,0,0,1
🌳,0,0,1
😐,1,0,1
👈,0,0,1
🤘,0,1,0
🐧,0,1,0
💖,0,0,1
💾,1,0,0
🌉,0,1,0
🇰,0,1,1
🇷,0,2,0
🗨,0,2,0
💬,0,2,0
♻,0,1,0
🧙,1,1,0
🤧,1,0,0
🙋,0,0,1
🧢,0,0,1
🔹,0,0,3
🤐,0,0,2
🪬,0,1,0
🌀,0,1,0
📺,0,1,0
😳,0,2,0
😦,1,0,0
🍖,1,0,0
🐶,0,0,1
👎,1,0,0
🥁,0,0,1
😟,0,0,1
😕,0,0,1
🫤,0,0,1
✌,1,0,1
🤡,5,2,0
💤,0,1,0
👧,0,1,3
✋,0,1,0
💫,0,0,2
☀,0,6,0
🦅,0,1,0
😰,1,0,0
😖,0,0,1
▶,1,1,0
🚫,0,1,0
𝐀,1,0,0
𝐯,1,0,0
𝐚,4,0,0
