emoji,pos_count,neg_count,neutral_count
🇲,0,2,0
🇾,0,2,0
😧,0,149,0
😔,5,26,0
😊,0,129,2
😆,0,16,0
😅,3,9,7
🖥,2,3,7
🙌,0,4,11
😁,4,2,5
💻,2,11,12
💕,0,0,2
🤷,6,7,6
🏻,4,9,10
💰,3,0,1
🇨,2,1,0
🇳,3,1,0
🇺,9,8,10
🇸,2,5,1
🇦,6,2,9
🤗,0,5,0
🤸,0,2,0
👋,0,1,5
🤝,1,7,2
🍎,1,4,0
🥇,0,2,0
🥈,0,2,0
🥉,0,2,0
👉,0,3,14
✅,4,4,4
😮,1,0,5
💌,0,1,0
🍀,1,0,2
👍,3,6,9
🤟,1,1,1
🤳,1,0,0
𝗶,0,0,4
𝟳,0,0,1
𝟭,0,0,3
𝟮,0,0,2
𝘁,0,0,2
𝗵,0,0,4
𝗚,0,0,3
𝗲,0,0,2
𝗻,0,0,3
𝟱,0,0,1
𝘀,0,0,4
𝗼,0,0,3
𝘄,0,0,1
𝗳,0,0,2
𝘇,0,0,1
𝗥,0,0,1
𝗕,0,0,1
𝗰,0,0,1
𝗮,0,0,1
𝗹,0,0,1
𝗴,0,0,2
🤭,0,0,2
🤦,13,7,20
🚶,1,0,0
🥊,1,0,0
😂,11,34,24
✨,2,1,6
🌸,0,0,1
😓,1,1,0
🙂,2,2,10
⬇,1,0,1
️,38,44,46
🥺,6,12,8
👇,1,3,15
😄,2,21,0
🇪,0,2,1
😡,23,2,3
☹,1,0,0
🌐,0,1,3
☝,0,1,0
🤔,5,17,3
🫡,0,1,1
😍,1,12,4
👩,0,1,1
👨,0,2,1
🏼,1,7,16
🧑,0,0,2
🏽,2,1,3
🎓,0,0,1
🔥,5,14,11
🤑,2,0,1
💪,1,3,4
🤠,0,2,1
🤣,9,46,22
🙉,1,0,0
😏,1,3,0
📣,0,2,5
🤛,0,1,0
👏,0,5,23
🙃,4,2,2
📸,0,1,0
🦋,0,1,0
💀,3,3,2
🥴,4,7,8
😌,0,0,2
❤,3,20,9
🤩,1,4,9
🤨,0,5,0
😩,1,2,3
♂,5,2,2
📢,0,0,2
🎤,0,1,0
🌟,0,5,0
💯,0,2,6
🤲,0,1,0
🙏,5,5,8
😭,7,41,2
👀,0,10,5
🖱,0,1,2
😎,1,5,8
🏾,3,4,2
🎉,0,0,7
👽,0,2,3
😉,1,4,6
⭐,10,0,0
🙄,9,3,2
🤪,2,3,1
🥰,2,4,6
🍻,1,0,1
🛐,0,1,0
🦁,0,0,3
🤬,28,4,5
🤯,2,3,1
🦾,0,3,1
😇,0,3,0
💙,1,1,10
🥑,0,0,1
👊,0,0,1
☁,0,0,5
🔐,0,0,6
☺,4,0,0
🚀,1,0,18
🙈,0,1,0
📈,0,0,3
🥲,1,3,1
🥵,2,1,0
😈,0,0,1
🔷,0,0,1
💡,1,0,2
😜,3,3,0
🥳,2,7,3
🦊,0,0,2
🖤,1,1,0
💅,0,0,3
😠,2,0,1
🧀,0,1,0
🐝,0,1,0
💎,0,1,0
🥹,1,1,0
➡,1,1,11
🎙,0,0,1
♀,4,2,1
🚨,2,8,2
☠,3,0,0
☕,1,1,0
💜,1,1,3
𝐃,0,0,1
𝐞,0,3,6
𝐥,0,5,2
𝐓,0,1,1
𝐡,0,0,1
𝐁,0,0,1
𝐬,0,3,1
𝐭,0,3,2
𝐏,0,0,1
𝐫,0,1,3
𝐟,0,0,2
𝐨,0,3,7
𝐦,0,0,1
𝐢,0,2,1
𝐧,0,2,2
𝐠,0,0,1
𝐍,0,0,1
𝐛,0,1,1
𝐤,0,0,1
𝟐,0,0,2
𝟎,0,0,1
𝟏,0,0,1
🦉,0,1,0
🤓,2,2,1
🔗,1,2,2
⚠,0,2,0
😬,0,1,2
😫,0,0,1
📩,1,0,1
🔬,1,0,0
💚,1,0,1
🧡,1,0,1
💛,1,0,2
⛈,0,1,0
⚔,0,1,0
😘,0,2,1
🤤,0,0,4
🎧,0,1,0
🚗,0,1,0
🤌,0,1,1
🤮,4,0,2
👬,0,0,1
🎮,0,1,0
😲,1,0,0
♥,1,0,3
💔,1,0,0
😛,1,0,2
😑,2,0,1
🧠,0,1,1
📴,0,0,1
🏆,0,3,5
🐠,0,0,1
🌍,0,0,2
❌,0,1,0
😢,1,0,1
😱,0,1,0
💃,0,0,1
🎊,0,0,2
⤵,0,0,2
💸,0,3,1
🤙,0,2,1
🪶,0,0,1
👑,0,1,2
🇮,1,2,0
🤢,4,1,0
🤞,0,3,2
👻,0,2,1
😶,0,1,0
👁,0,0,2
👄,0,0,1
📌,0,0,1
🌖,0,0,1
🧵,0,4,0
🔌,1,1,0
😒,2,2,4
💭,0,0,1
▫,0,0,6
🪑,0,0,1
😻,0,0,1
📷,0,0,1
🌳,0,0,1
😐,2,0,0
👈,0,0,1
🤘,0,1,0
🐧,0,1,0
💖,0,0,1
💾,0,0,1
🌉,1,0,0
🇰,1,0,1
🇷,2,0,0
🗨,0,2,0
💬,0,2,0
♻,1,0,0
🧙,1,1,0
🤧,1,0,0
🙋,0,0,1
🧢,0,0,1
🔹,0,0,3
🤐,0,2,0
🪬,0,1,0
🌀,0,1,0
📺,0,1,0
😳,0,2,0
😦,1,0,0
🍖,0,0,1
🐶,0,0,1
👎,1,0,0
🥁,0,0,1
😟,0,1,0
😕,0,1,0
🫤,0,1,0
✌,2,0,0
🤡,5,2,0
💤,0,1,0
👧,0,1,3
✋,0,1,0
💫,0,0,2
☀,0,5,1
🦅,0,1,0
😰,1,0,0
😖,0,0,1
▶,1,1,0
🚫,1,0,0
𝐀,0,1,0
𝐯,0,1,0
𝐚,0,4,0
