emoji,pos_count,neg_count,neutral_count
🇲,0,2,0
🇾,0,2,0
😧,0,148,1
😔,0,28,3
😊,0,122,9
😆,0,11,5
😅,0,4,15
🖥,0,5,7
🙌,0,2,13
😁,0,3,8
💻,0,10,15
💕,0,0,2
🤷,0,8,11
🏻,0,5,18
💰,0,1,3
🇨,0,0,3
🇳,0,0,4
🇺,0,2,25
🇸,0,1,7
🇦,0,0,17
🤗,0,3,2
🤸,0,2,0
👋,0,3,3
🤝,0,5,5
🍎,0,5,0
🥇,0,2,0
🥈,0,2,0
🥉,0,2,0
👉,0,12,5
✅,0,1,11
😮,0,1,5
💌,0,0,1
🍀,0,2,1
👍,0,4,14
🤟,0,2,1
🤳,0,1,0
𝗶,0,0,4
𝟳,0,0,1
𝟭,0,0,3
𝟮,0,0,2
𝘁,0,0,2
𝗵,0,0,4
𝗚,0,0,3
𝗲,0,0,2
𝗻,0,0,3
𝟱,0,0,1
𝘀,0,0,4
𝗼,0,0,3
𝘄,0,0,1
𝗳,0,0,2
𝘇,0,0,1
𝗥,0,0,1
𝗕,0,0,1
𝗰,0,0,1
𝗮,0,0,1
𝗹,0,0,1
𝗴,0,0,2
🤭,0,1,1
🤦,0,35,5
🚶,0,0,1
🥊,0,1,0
😂,0,17,52
✨,0,5,4
🌸,0,0,1
😓,0,2,0
🙂,0,3,11
⬇,0,0,2
️,0,62,66
🥺,0,22,4
👇,0,5,14
😄,0,20,3
🇪,0,2,1
😡,0,16,12
☹,0,0,1
🌐,0,1,3
☝,0,0,1
🤔,0,16,9
🫡,0,0,2
😍,0,10,7
👩,0,1,1
👨,0,1,2
🏼,0,8,16
🧑,0,0,2
🏽,0,2,4
🎓,0,0,1
🔥,0,16,14
🤑,0,3,0
💪,0,3,5
🤠,0,1,2
🤣,0,51,26
🙉,0,1,0
😏,0,2,2
📣,0,0,7
🤛,0,1,0
👏,0,10,18
🙃,0,5,3
📸,0,0,1
🦋,0,1,0
💀,0,2,6
🥴,0,18,1
😌,0,0,2
❤,0,17,15
🤩,0,7,7
🤨,0,4,1
😩,0,1,5
♂,0,5,4
📢,0,2,0
🎤,0,0,1
🌟,0,1,4
💯,0,1,7
🤲,0,0,1
🙏,0,5,13
😭,0,36,14
👀,0,1,14
🖱,0,1,2
😎,0,3,11
🏾,0,4,5
🎉,0,0,7
👽,0,1,4
😉,0,3,8
⭐,0,10,0
🙄,0,8,6
🤪,0,5,1
🥰,0,11,1
🍻,0,0,2
🛐,0,0,1
🦁,0,3,0
🤬,0,26,11
🤯,0,6,0
🦾,0,3,1
😇,0,2,1
💙,0,2,10
🥑,0,0,1
👊,0,0,1
☁,0,5,0
🔐,0,5,1
☺,0,1,3
🚀,0,9,10
🙈,0,0,1
📈,0,2,1
🥲,0,1,4
🥵,0,3,0
😈,0,1,0
🔷,0,1,0
💡,0,1,2
😜,0,3,3
🥳,0,7,5
🦊,0,2,0
🖤,0,1,1
💅,0,1,2
😠,0,1,2
🧀,0,1,0
🐝,0,0,1
💎,0,0,1
🥹,0,0,2
➡,0,3,10
🎙,0,1,0
♀,0,2,5
🚨,0,4,8
☠,0,3,0
☕,0,0,2
💜,0,0,5
𝐃,0,0,1
𝐞,0,0,9
𝐥,0,0,7
𝐓,0,0,2
𝐡,0,0,1
𝐁,0,0,1
𝐬,0,0,4
𝐭,0,0,5
𝐏,0,0,1
𝐫,0,0,4
𝐟,0,0,2
𝐨,0,0,10
𝐦,0,0,1
𝐢,0,0,3
𝐧,0,0,4
𝐠,0,0,1
𝐍,0,0,1
𝐛,0,0,2
𝐤,0,0,1
𝟐,0,0,2
𝟎,0,0,1
𝟏,0,0,1
🦉,0,0,1
🤓,0,3,2
🔗,0,3,2
⚠,0,2,0
😬,0,1,2
😫,0,1,0
📩,0,1,1
🔬,0,0,1
💚,0,0,2
🧡,0,1,1
💛,0,0,3
⛈,0,1,0
⚔,0,1,0
😘,0,2,1
🤤,0,3,1
🎧,0,0,1
🚗,0,0,1
🤌,0,1,1
🤮,0,4,2
👬,0,1,0
🎮,0,0,1
😲,0,1,0
♥,0,1,3
💔,0,1,0
😛,0,0,3
😑,0,1,2
🧠,0,2,0
📴,0,1,0
🏆,0,3,5
🐠,0,0,1
🌍,0,0,2
❌,0,1,0
😢,0,0,2
😱,0,0,1
💃,0,1,0
🎊,0,0,2
⤵,0,2,0
💸,0,1,3
🤙,0,3,0
🪶,0,0,1
👑,0,1,2
🇮,0,0,3
🤢,0,5,0
🤞,0,2,3
👻,0,3,0
😶,0,1,0
👁,0,0,2
👄,0,0,1
📌,0,1,0
🌖,0,0,1
🧵,0,1,3
🔌,0,1,1
😒,0,2,6
💭,0,0,1
▫,0,0,6
🪑,0,0,1
😻,0,0,1
📷,0,0,1
🌳,0,1,0
😐,0,2,0
👈,0,0,1
🤘,0,0,1
🐧,0,0,1
💖,0,1,0
💾,0,0,1
🌉,0,1,0
🇰,0,2,0
🇷,0,1,1
🗨,0,0,2
💬,0,0,2
♻,0,0,1
🧙,0,2,0
🤧,0,1,0
🙋,0,1,0
🧢,0,0,1
🔹,0,0,3
🤐,0,2,0
🪬,0,1,0
🌀,0,1,0
📺,0,1,0
😳,0,0,2
😦,0,1,0
🍖,0,0,1
🐶,0,0,1
👎,0,0,1
🥁,0,1,0
😟,0,0,1
😕,0,0,1
🫤,0,0,1
✌,0,2,0
🤡,0,3,4
💤,0,0,1
👧,0,0,4
✋,0,0,1
💫,0,2,0
☀,0,0,6
🦅,0,0,1
😰,0,0,1
😖,0,0,1
▶,0,1,1
🚫,0,0,1
𝐀,0,0,1
𝐯,0,0,1
𝐚,0,0,4
