emoji,pos_count,neg_count,neutral_count
🇲,0,2,0
🇾,0,2,0
😧,0,149,0
😔,0,31,0
😊,0,131,0
😆,0,16,0
😅,0,19,0
🖥,0,12,0
🙌,0,15,0
😁,0,11,0
💻,0,25,0
💕,0,2,0
🤷,0,19,0
🏻,0,23,0
💰,0,4,0
🇨,0,3,0
🇳,0,4,0
🇺,0,27,0
🇸,0,8,0
🇦,0,17,0
🤗,0,5,0
🤸,0,2,0
👋,0,6,0
🤝,0,10,0
🍎,0,5,0
🥇,0,2,0
🥈,0,2,0
🥉,0,2,0
👉,0,17,0
✅,0,12,0
😮,0,6,0
💌,0,1,0
🍀,0,3,0
👍,0,18,0
🤟,0,3,0
🤳,0,1,0
𝗶,0,4,0
𝟳,0,1,0
𝟭,0,3,0
𝟮,0,2,0
𝘁,0,2,0
𝗵,0,4,0
𝗚,0,3,0
𝗲,0,2,0
𝗻,0,3,0
𝟱,0,1,0
𝘀,0,4,0
𝗼,0,3,0
𝘄,0,1,0
𝗳,0,2,0
𝘇,0,1,0
𝗥,0,1,0
𝗕,0,1,0
𝗰,0,1,0
𝗮,0,1,0
𝗹,0,1,0
𝗴,0,2,0
🤭,0,2,0
🤦,0,40,0
🚶,0,1,0
🥊,0,1,0
😂,0,69,0
✨,0,9,0
🌸,0,1,0
😓,0,2,0
🙂,0,14,0
⬇,0,2,0
️,0,128,0
🥺,0,26,0
👇,0,18,1
😄,0,23,0
🇪,0,3,0
😡,0,28,0
☹,0,1,0
🌐,0,4,0
☝,0,1,0
🤔,0,25,0
🫡,0,2,0
😍,0,17,0
👩,0,2,0
👨,0,3,0
🏼,0,24,0
🧑,0,2,0
🏽,0,6,0
🎓,0,1,0
🔥,0,30,0
🤑,0,3,0
💪,0,8,0
🤠,0,3,0
🤣,0,77,0
🙉,0,1,0
😏,0,4,0
📣,0,7,0
🤛,0,1,0
👏,0,28,0
🙃,0,8,0
📸,0,1,0
🦋,0,1,0
💀,0,8,0
🥴,0,19,0
😌,0,2,0
❤,0,32,0
🤩,0,14,0
🤨,0,5,0
😩,0,6,0
♂,0,9,0
📢,0,2,0
🎤,0,1,0
🌟,0,5,0
💯,0,8,0
🤲,0,1,0
🙏,0,18,0
😭,0,50,0
👀,0,15,0
🖱,0,3,0
😎,0,14,0
🏾,0,9,0
🎉,0,7,0
👽,0,5,0
😉,0,11,0
⭐,0,10,0
🙄,0,14,0
🤪,0,6,0
🥰,0,12,0
🍻,0,2,0
🛐,0,1,0
🦁,0,3,0
🤬,0,37,0
🤯,0,6,0
🦾,0,4,0
😇,0,3,0
💙,0,12,0
🥑,0,1,0
👊,0,1,0
☁,0,5,0
🔐,0,6,0
☺,0,4,0
🚀,0,19,0
🙈,0,1,0
📈,0,3,0
🥲,0,5,0
🥵,0,3,0
😈,0,1,0
🔷,0,1,0
💡,0,3,0
😜,0,6,0
🥳,0,12,0
🦊,0,2,0
🖤,0,2,0
💅,0,3,0
😠,0,3,0
🧀,0,1,0
🐝,0,1,0
💎,0,1,0
🥹,0,2,0
➡,0,13,0
🎙,0,1,0
♀,0,7,0
🚨,0,12,0
☠,0,3,0
☕,0,2,0
💜,0,5,0
𝐃,0,1,0
𝐞,0,8,1
𝐥,0,7,0
𝐓,0,2,0
𝐡,0,1,0
𝐁,0,1,0
𝐬,0,4,0
𝐭,0,5,0
𝐏,0,1,0
𝐫,0,3,1
𝐟,0,2,0
𝐨,0,8,2
𝐦,0,1,0
𝐢,0,3,0
𝐧,0,3,1
𝐠,0,1,0
𝐍,0,1,0
𝐛,0,2,0
𝐤,0,1,0
𝟐,0,2,0
𝟎,0,1,0
𝟏,0,1,0
🦉,0,1,0
🤓,0,5,0
🔗,0,5,0
⚠,0,2,0
😬,0,3,0
😫,0,1,0
📩,0,2,0
🔬,0,1,0
💚,0,2,0
🧡,0,2,0
💛,0,3,0
⛈,0,1,0
⚔,0,1,0
😘,0,3,0
🤤,0,4,0
🎧,0,1,0
🚗,0,1,0
🤌,0,2,0
🤮,0,6,0
👬,0,1,0
🎮,0,1,0
😲,0,1,0
♥,0,4,0
💔,0,1,0
😛,0,3,0
😑,0,3,0
🧠,0,2,0
📴,0,1,0
🏆,0,8,0
🐠,0,1,0
🌍,0,2,0
❌,0,1,0
😢,0,2,0
😱,0,1,0
💃,0,1,0
🎊,0,2,0
⤵,0,2,0
💸,0,4,0
🤙,0,3,0
🪶,0,1,0
👑,0,3,0
🇮,0,3,0
🤢,0,5,0
🤞,0,5,0
👻,0,3,0
😶,0,1,0
👁,0,2,0
👄,0,1,0
📌,0,1,0
🌖,0,1,0
🧵,0,4,0
🔌,0,2,0
😒,0,8,0
💭,0,1,0
▫,0,6,0
🪑,0,1,0
😻,0,1,0
📷,0,1,0
🌳,0,1,0
😐,0,2,0
👈,0,1,0
🤘,0,1,0
🐧,0,1,0
💖,0,1,0
💾,0,1,0
🌉,0,1,0
🇰,0,2,0
🇷,0,2,0
🗨,0,2,0
💬,0,2,0
♻,0,1,0
🧙,0,2,0
🤧,0,1,0
🙋,0,1,0
🧢,0,1,0
🔹,0,3,0
🤐,0,2,0
🪬,0,1,0
🌀,0,1,0
📺,0,1,0
😳,0,2,0
😦,0,1,0
🍖,0,1,0
🐶,0,1,0
👎,0,1,0
🥁,0,1,0
😟,0,1,0
😕,0,1,0
🫤,0,1,0
✌,0,2,0
🤡,0,7,0
💤,0,1,0
👧,0,4,0
✋,0,1,0
💫,0,2,0
☀,0,6,0
🦅,0,1,0
😰,0,1,0
😖,0,1,0
▶,0,2,0
🚫,0,1,0
𝐀,0,1,0
𝐯,0,1,0
𝐚,0,4,0
